,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done
0,0.0,1.0,0.1,-0.00010000000000000002,0.1,0.9,False
1,0.1,0.9,0.1,-0.00010000000000000002,0.2,0.8,False
2,0.2,0.8,0.05,-2.5000000000000005e-05,0.3,0.75,False
3,0.3,0.75,0.0,0.0,0.4,0.75,False
4,0.4,0.75,0.1,-0.00010000000000000002,0.5,0.65,False
5,0.5,0.65,0.2,-0.0004000000000000001,0.6,0.45,False
6,0.6,0.45,0.15,-0.000225,0.7,0.3,False
7,0.7,0.3,0.1,-0.00010000000000000002,0.8,0.2,False
8,0.8,0.2,0.05,-2.5000000000000005e-05,0.9,0.15,False
9,0.9,0.15,0.15,-0.000225,1.0,0.0,True
10,0.0,1.0,0.05,-2.5000000000000005e-05,0.1,0.95,False
11,0.1,0.95,0.15,-0.000225,0.2,0.8,False
12,0.2,0.8,0.1,-0.00010000000000000002,0.3,0.7,False
13,0.3,0.7,0.15,-0.000225,0.4,0.55,False
14,0.4,0.55,0.0,0.0,0.5,0.55,False
15,0.5,0.55,0.1,-0.00010000000000000002,0.6,0.45,False
16,0.6,0.45,0.2,-0.0004000000000000001,0.7,0.25,False
17,0.7,0.25,0.1,-0.00010000000000000002,0.8,0.15,False
18,0.8,0.15,0.05,-2.5000000000000005e-05,0.9,0.1,False
19,0.9,0.1,0.1,-0.00010000000000000002,1.0,0.0,True
20,0.0,1.0,0.15,-0.000225,0.1,0.85,False
21,0.1,0.85,0.05,-2.5000000000000005e-05,0.2,0.8,False
22,0.2,0.8,0.0,0.0,0.3,0.8,False
23,0.3,0.8,0.1,-0.00010000000000000002,0.4,0.7,False
24,0.4,0.7,0.05,-2.5000000000000005e-05,0.5,0.65,False
25,0.5,0.65,0.2,-0.0004000000000000001,0.6,0.45,False
26,0.6,0.45,0.2,-0.0004000000000000001,0.7,0.25,False
27,0.7,0.25,0.15,-0.000225,0.8,0.1,False
28,0.8,0.1,0.1,-0.00010000000000000002,0.9,0.0,False
29,0.9,0.0,0.0,0.0,1.0,0.0,True
30,0.0,1.0,0.15,-0.000225,0.1,0.85,False
31,0.1,0.85,0.05,-2.5000000000000005e-05,0.2,0.8,False
32,0.2,0.8,0.05,-2.5000000000000005e-05,0.3,0.75,False
33,0.3,0.75,0.1,-0.00010000000000000002,0.4,0.65,False
34,0.4,0.65,0.1,-0.00010000000000000002,0.5,0.55,False
35,0.5,0.55,0.1,-0.00010000000000000002,0.6,0.45,False
36,0.6,0.45,0.2,-0.0004000000000000001,0.7,0.25,False
37,0.7,0.25,0.05,-2.5000000000000005e-05,0.8,0.2,False
38,0.8,0.2,0.05,-2.5000000000000005e-05,0.9,0.15,False
39,0.9,0.15,0.15,-0.000225,1.0,0.0,True
40,0.0,1.0,0.0,0.0,0.1,1.0,False
41,0.1,1.0,0.05,-2.5000000000000005e-05,0.2,0.95,False
42,0.2,0.95,0.1,-0.00010000000000000002,0.3,0.85,False
43,0.3,0.85,0.1,-0.00010000000000000002,0.4,0.75,False
44,0.4,0.75,0.15,-0.000225,0.5,0.6,False
45,0.5,0.6,0.05,-2.5000000000000005e-05,0.6,0.55,False
46,0.6,0.55,0.1,-0.00010000000000000002,0.7,0.45,False
47,0.7,0.45,0.2,-0.0004000000000000001,0.8,0.25,False
48,0.8,0.25,0.1,-0.00010000000000000002,0.9,0.15,False
49,0.9,0.15,0.15,-0.000225,1.0,0.0,True
50,0.0,1.0,0.05,-2.5000000000000005e-05,0.1,0.95,False
51,0.1,0.95,0.1,-0.00010000000000000002,0.2,0.85,False
52,0.2,0.85,0.05,-2.5000000000000005e-05,0.3,0.8,False
53,0.3,0.8,0.1,-0.00010000000000000002,0.4,0.7,False
54,0.4,0.7,0.15,-0.000225,0.5,0.55,False
55,0.5,0.55,0.1,-0.00010000000000000002,0.6,0.45,False
56,0.6,0.45,0.15,-0.000225,0.7,0.3,False
57,0.7,0.3,0.15,-0.000225,0.8,0.15,False
58,0.8,0.15,0.1,-0.00010000000000000002,0.9,0.05,False
59,0.9,0.05,0.05,-2.5000000000000005e-05,1.0,0.0,True
60,0.0,1.0,0.15,-0.000225,0.1,0.85,False
61,0.1,0.85,0.1,-0.00010000000000000002,0.2,0.75,False
62,0.2,0.75,0.15,-0.000225,0.3,0.6,False
63,0.3,0.6,0.0,0.0,0.4,0.6,False
64,0.4,0.6,0.0,0.0,0.5,0.6,False
65,0.5,0.6,0.25,-0.000625,0.6,0.35,False
