,times,open,high,low,close,numEvents,volume,value
1,22/01/2019 14:30,28.98,29.23,28.97,29.07,10227,5513326,160488064
2,22/01/2019 14:40,29.08,29.125,29.01,29.0256,7571,3788601,110143112
3,22/01/2019 14:50,29.02,29.24,29.01,29.2,5926,2688505,78336552
4,22/01/2019 15:00,29.2,29.24,28.98,29.005,6559,3516556,102241784
5,22/01/2019 15:10,29.007,29.09,29,29.05,4132,2044311,59378544
6,22/01/2019 15:20,29.06,29.16,29.05,29.145,3410,1645744,47922140
7,22/01/2019 15:30,29.14,29.17,29.11,29.11,3141,1479351,43115460
8,22/01/2019 15:40,29.11,29.14,29.07,29.14,3544,1540955,44845336
9,22/01/2019 15:50,29.14,29.2,29.13,29.175,3395,1807403,52725924
10,22/01/2019 16:00,29.17,29.23,29.16,29.22,4845,2543891,74266944
11,22/01/2019 16:10,29.215,29.27,29.18,29.25,3657,1718580,50224972
12,22/01/2019 16:20,29.25,29.29,29.23,29.24,3850,1866735,54625708
13,22/01/2019 16:30,29.235,29.3,29.2,29.21,3275,1584406,46344100
14,22/01/2019 16:40,29.215,29.215,29.07,29.1,4400,2037878,59339504
15,22/01/2019 16:50,29.1,29.11,29,29.01,3494,1656833,48125948
16,22/01/2019 17:00,29,29.1,28.98,29.06,4236,2222223,64521760
17,22/01/2019 17:10,29.06,29.15,29.04,29.145,2548,1020038,29666882
18,22/01/2019 17:20,29.15,29.16,29.08,29.095,2354,1022894,29781850
19,22/01/2019 17:30,29.1,29.15,29.08,29.11,2355,913176,26587104
20,22/01/2019 17:40,29.11,29.18,29.11,29.17,2563,1139788,33220644
21,22/01/2019 17:50,29.17,29.19,29.12,29.13,2671,1317724,38429408
22,22/01/2019 18:00,29.13,29.13,29.03,29.04,2834,1230646,35769604
23,22/01/2019 18:10,29.0316,29.04,28.91,28.91,4309,2160070,62612876
24,22/01/2019 18:20,28.91,29.02,28.91,28.97,3971,1827013,52937256
25,22/01/2019 18:30,28.97,29.06,28.97,29.04,3206,1247603,36207452
26,22/01/2019 18:40,29.04,29.08,28.995,29.0674,3087,1340089,38915932
27,22/01/2019 18:50,29.07,29.13,29.06,29.1,2796,1366153,39749332
28,22/01/2019 19:00,29.105,29.12,29.03,29.045,2932,1094376,31814912
29,22/01/2019 19:10,29.045,29.06,29.02,29.04,2823,921810,26770748
30,22/01/2019 19:20,29.04,29.06,28.97,28.97,2550,814417,23625506
31,22/01/2019 19:30,28.97,29.04,28.95,28.96,3485,1173273,34016736
32,22/01/2019 19:40,28.96,28.985,28.91,28.925,3382,1326527,38388600
33,22/01/2019 19:50,28.92,28.96,28.895,28.94,3833,1408733,40754132
34,22/01/2019 20:00,28.945,28.98,28.91,28.925,5044,1939595,56125268
35,22/01/2019 20:10,28.93,28.98,28.9,28.97,4537,2193024,63489588
36,22/01/2019 20:20,28.965,29.02,28.965,29,3120,1412742,40956468
37,22/01/2019 20:30,29,29.01,28.89,29.01,4820,2371999,68678312
38,22/01/2019 20:40,29.0043,29.11,28.9501,28.97,7558,3680964,106839064
39,22/01/2019 20:50,28.98,29.1,28.94,29.1,9145,3928848,113900536
40,22/01/2019 21:00,29.09,29.09,29.09,29.09,1,3556166,103448872
41,22/01/2019 21:10,29.09,29.09,29.09,29.09,1,0,0
42,23/01/2019 14:30,29.22,29.24,29.07,29.15,5298,2815500,82129856
43,23/01/2019 14:40,29.15,29.22,29.1,29.205,4534,2436481,71043792
44,23/01/2019 14:50,29.2,29.28,29.16,29.27,4237,2069222,60465588
45,23/01/2019 15:00,29.27,29.28,29.2,29.24,4145,1576929,46120328
46,23/01/2019 15:10,29.245,29.27,29.15,29.15,3044,1163902,34018648
47,23/01/2019 15:20,29.1516,29.2,29.12,29.14,3596,1327416,38711016
48,23/01/2019 15:30,29.14,29.17,29.05,29.05,3966,1988217,57906568
49,23/01/2019 15:40,29.05,29.15,29.03,29.11,4354,1782617,51853552
50,23/01/2019 15:50,29.11,29.11,29,29.0104,3106,1328843,38598648
51,23/01/2019 16:00,29.01,29.12,29.01,29.08,3380,1590543,46218368
