"","times","open","high","low","close","numEvents","volume","value"
"1",2019-01-22 14:30:00,44.88,44.95,44.72,44.9,2928,997110,44723148
"2",2019-01-22 14:40:00,44.89,44.975,44.805,44.96,2409,453628,20374940
"3",2019-01-22 14:50:00,44.96,45.149,44.95,45.12,3195,615499,27721034
"4",2019-01-22 15:00:00,45.12,45.19,45.05,45.11,3029,604390,27276374
"5",2019-01-22 15:10:00,45.1033,45.19,45.03,45.12,2286,424736,19161886
"6",2019-01-22 15:20:00,45.125,45.2068,45.08,45.13,1712,398632,18000526
"7",2019-01-22 15:30:00,45.13,45.2365,45.09,45.19,1813,330982,14948616
"8",2019-01-22 15:40:00,45.19,45.24,45.1,45.18,1997,374550,16918016
"9",2019-01-22 15:50:00,45.19,45.24,45.17,45.18,1850,367459,16610843
"10",2019-01-22 16:00:00,45.17,45.18,45.07,45.09,1429,282244,12736616
"11",2019-01-22 16:10:00,45.08,45.1269,45.0541,45.075,1525,324755,14641663
"12",2019-01-22 16:20:00,45.075,45.13,45.07,45.1001,1459,313291,14130090
"13",2019-01-22 16:30:00,45.1034,45.11,45.06,45.06,824,153036,6899023.5
"14",2019-01-22 16:40:00,45.06,45.0699,44.96,44.995,1576,337361,15184094
"15",2019-01-22 16:50:00,44.99,45,44.89,44.905,1029,207469,9322592
"16",2019-01-22 17:00:00,44.9,44.93,44.81,44.865,2157,431871,19377652
"17",2019-01-22 17:10:00,44.87,44.91,44.845,44.865,1006,180938,8118694
"18",2019-01-22 17:20:00,44.87,44.89,44.77,44.81,1247,241662,10830730
"19",2019-01-22 17:30:00,44.805,44.89,44.805,44.8489,1003,178899,8023299
"20",2019-01-22 17:40:00,44.845,44.91,44.82,44.89,889,164915,7399079
"21",2019-01-22 17:50:00,44.89,44.92,44.8,44.8,980,182285,8175366
"22",2019-01-22 18:00:00,44.8,44.8,44.68,44.68,1358,266206,11911442
"23",2019-01-22 18:10:00,44.675,44.6976,44.61,44.63,1652,317600,14181713
"24",2019-01-22 18:20:00,44.63,44.77,44.63,44.74,2124,414002,18509034
"25",2019-01-22 18:30:00,44.7471,44.78,44.68,44.74,1501,265024,11855979
