Day,Month,Sum of deviation term,,,
22,1,2.950696,,,
23,1,3.110594,,,
24,1,2.557116,,,
25,1,3.176504,,,
28,1,3.194366,,,
29,1,5.03974,,,
30,1,7.532756,,,
31,1,4.121625,,,
1,2,2.425,,,
4,2,2.456552,,,
5,2,2.659016,,,
6,2,3.144428,,,
7,2,3.71847,,,
8,2,1.973276,,,
11,2,2.058531,,,
12,2,1.940486,,,
13,2,1.75277,,,
14,2,2.434742,,,
15,2,1.92793,,,
19,2,1.614364,,,
20,2,2.509592,,,
21,2,1.890622,,,
22,2,1.312334,,,
25,2,1.405374,,,
26,2,1.341964,,,
27,2,1.397886,,,
28,2,1.688904,,,
1,3,1.681602,,,
4,3,5.010692,,,
5,3,1.112026,,,
6,3,1.350122,,,
7,3,2.694191,,,
8,3,2.044854,,,
11,3,1.027156,,,
12,3,2.328734,,,
13,3,1.946088,,,
14,3,2.79969,,,
15,3,2.910624,,,
18,3,1.807146,,,
19,3,2.774668,,,
20,3,5.672062,,,
21,3,4.714848,,,
22,3,13.847038,,,
25,3,12.788456,,,
26,3,10.107546,,,
27,3,4.800738,,,
28,3,1.853742,,,
29,3,1.402664,,,
1,4,3.267094,,,
2,4,3.631782,,,
3,4,2.773312,,,
4,4,2.764762,,,
5,4,0.610568,,,
8,4,2.026406,,,
9,4,4.075234,,,
10,4,2.542048,,,
11,4,1.857814,,,
12,4,3.482938,,,
15,4,1.600462,,,
16,4,3.197854,,,
17,4,4.791554,,,
18,4,1.430632,,,
22,4,1.069184,,,
23,4,1.380854,,,
24,4,2.144146,,,
25,4,3.467828,,,
26,4,3.248094,,,
29,4,1.627493,,,
30,4,5.813868,,,
1,5,12.557484,,,
2,5,7.375433,,,
3,5,1.1887,,,
6,5,4.479776,,,
7,5,9.526165,,,
8,5,11.867471,,,
9,5,15.16921,,,
10,5,15.510811,,,
13,5,13.396886,,,
14,5,5.53155,,,
15,5,3.297634,,,
16,5,5.176066,,,
17,5,8.454304,,,
20,5,8.703328,,,
21,5,2.603765,,,
22,5,3.731628,,,
23,5,6.677752,,,
24,5,2.576436,,,
28,5,4.056192,,,
29,5,4.976504,,,
30,5,2.608384,,,
31,5,2.178202,,,
3,6,21.152506,,,6
4,6,6.695441,,,
5,6,5.362932,,,
6,6,3.946542,,,
7,6,5.08176,,,
10,6,4.291558,,,
11,6,4.110401,,,
12,6,2.46244,,,
13,6,2.526668,,,
14,6,2.683628,,,
17,6,1.956971,,,
18,6,7.155028,,,
19,6,2.32805,,,
20,6,2.785662,,,
21,6,2.681319,,,
24,6,1.04467,,,
25,6,3.40052,,,
26,6,2.103906,,,
27,6,1.461198,,,
28,6,2.606153,,,
1,7,3.524882,,,7
2,7,2.034414,,,
3,7,0.606532,,,
5,7,1.392867,,,
8,7,2.11173,,,
9,7,1.11155,,,
10,7,2.221342,,,
11,7,2.05676,,,
12,7,1.608344,,,
15,7,0.714213,,,
16,7,2.510177,,,
17,7,1.348674,,,
18,7,1.415282,,,
19,7,2.731885,,,
22,7,1.598885,,,
23,7,1.333356,,,
24,7,1.818658,,,
25,7,1.38217,,,
26,7,0.95327,,,
29,7,1.78622,,,
30,7,2.942804,,,
31,7,13.464059,,,
1,8,28.863906,,,8
2,8,9.377614,,,
