"","times","open","high","low","close","numEvents","volume","value"
"1",2019-01-22 14:30:00,149.2,150.98,148.96,150.922,6033,1462374,219178560
"2",2019-01-22 14:40:00,150.91,150.926,150.13,150.23,2815,558049,83977456
"3",2019-01-22 14:50:00,150.19,150.915,149.78,150.76,3931,763482,114715096
"4",2019-01-22 15:00:00,150.76,151.515,150.5,151,4998,967143,146055152
"5",2019-01-22 15:10:00,151.005,151.53,149.98,150.21,4321,891902,134398080
"6",2019-01-22 15:20:00,150.235,150.87,150.22,150.41,2314,540467,81381040
"7",2019-01-22 15:30:00,150.36,150.531,149.97,150.2,1654,314239,47196312
"8",2019-01-22 15:40:00,150.201,150.42,149.95,150.38,1402,276392,41508500
"9",2019-01-22 15:50:00,150.37,150.63,149.72,149.83,1689,325025,48805472
"10",2019-01-22 16:00:00,149.81,149.83,149.35,149.4,1982,394645,59038992
"11",2019-01-22 16:10:00,149.39,149.9,149.21,149.815,1966,425726,63666676
"12",2019-01-22 16:20:00,149.8,149.985,149.745,149.82,1137,241901,36256492
"13",2019-01-22 16:30:00,149.81,150.13,149.668,149.892,1182,207201,31057460
"14",2019-01-22 16:40:00,149.88,149.9,149,149.14,2291,418310,62459460
"15",2019-01-22 16:50:00,149.169,149.23,148.71,148.78,1638,331514,49385272
"16",2019-01-22 17:00:00,148.8,149.18,148.58,149.149,2593,626121,93168288
"17",2019-01-22 17:10:00,149.14,149.2,148.774,148.99,1163,204761,30509342
"18",2019-01-22 17:20:00,148.99,149.017,148.57,148.57,1075,210639,31355370
"19",2019-01-22 17:30:00,148.59,148.6,148.31,148.41,1404,266701,39597636
"20",2019-01-22 17:40:00,148.42,148.74,148.376,148.61,935,168836,25085026
"21",2019-01-22 17:50:00,148.607,148.73,148.3,148.31,816,135330,20100868
"22",2019-01-22 18:00:00,148.3,148.3,147.65,147.665,1988,428403,63367064
"23",2019-01-22 18:10:00,147.674,147.89,147.4,147.42,1581,340428,50252020
"24",2019-01-22 18:20:00,147.41,147.9,147.4,147.69,1538,291486,43042324
"25",2019-01-22 18:30:00,147.68,147.881,147.63,147.83,1044,190237,28107060
"26",2019-01-22 18:40:00,147.843,147.949,147.61,147.88,879,157809,23321248
"27",2019-01-22 18:50:00,147.87,147.98,147.71,147.78,938,151506,22399968
"28",2019-01-22 19:00:00,147.8,147.96,147.459,147.465,878,172393,25471356
"29",2019-01-22 19:10:00,147.465,147.657,147.4,147.52,951,161605,23838818
"30",2019-01-22 19:20:00,147.54,147.73,147.38,147.59,1350,253958,37469264
"31",2019-01-22 19:30:00,147.58,147.93,147.24,147.38,1565,313955,46352476
"32",2019-01-22 19:40:00,147.37,147.6,146.65,146.765,2065,451851,66449672
"33",2019-01-22 19:50:00,146.74,147.15,146.74,146.88,1871,318318,46782448
"34",2019-01-22 20:00:00,146.86,146.88,146.37,146.517,2354,453607,66501452
"35",2019-01-22 20:10:00,146.52,146.8,146.42,146.7,1812,247867,36350404
"36",2019-01-22 20:20:00,146.7,147.25,146.58,147.11,2139,373607,54895716
"37",2019-01-22 20:30:00,147.13,147.62,146.668,147.62,3040,467446,68723024
"38",2019-01-22 20:40:00,147.6,147.74,147.18,147.23,3185,561582,82821584
"39",2019-01-22 20:50:00,147.25,147.82,146.96,147.57,7348,3211810,473637504
"40",2019-01-22 21:20:00,147.57,147.57,147.57,147.57,1,0,0
"41",2019-01-23 14:30:00,148.28,148.8,146.11,146.292,4663,1162089,170992528
"42",2019-01-23 14:40:00,146.32,146.96,146.26,146.46,2846,676054,99088632
"43",2019-01-23 14:50:00,146.45,146.61,146.03,146.235,2766,670881,98162568
"44",2019-01-23 15:00:00,146.235,146.65,145.75,146.02,3213,768720,112414232
"45",2019-01-23 15:10:00,146.04,146.14,145.2,145.22,3624,822143,119803832
"46",2019-01-23 15:20:00,145.191,145.38,144.9,145.32,3351,695729,100986432
"47",2019-01-23 15:30:00,145.34,145.978,145.15,145.851,2288,651874,94991032
"48",2019-01-23 15:40:00,145.855,145.94,145,145,1956,385064,55976072
"49",2019-01-23 15:50:00,145.03,145.34,144.96,145.34,1699,356887,51790704
"50",2019-01-23 16:00:00,145.335,145.5,145.04,145.14,1212,216012,31388334
"51",2019-01-23 16:10:00,145.14,145.29,144.51,144.77,2530,577328,83660000
"52",2019-01-23 16:20:00,144.77,144.97,144.63,144.9,2263,455893,65993916
"53",2019-01-23 16:30:00,144.917,145.3,144.82,145.13,1666,373229,54147660
"54",2019-01-23 16:40:00,145.157,145.54,144.9,144.91,2111,340059,49405092
"55",2019-01-23 16:50:00,144.9,145.18,144.37,144.55,1753,375241,54315876
"56",2019-01-23 17:00:00,144.556,144.734,144.17,144.27,1718,329294,47573664
"57",2019-01-23 17:10:00,144.29,144.51,144.119,144.2,1358,262078,37820496
"58",2019-01-23 17:20:00,144.18,144.61,144.05,144.49,1300,231824,33460290
"59",2019-01-23 17:30:00,144.48,144.75,144.25,144.4,1078,195266,28215738
"60",2019-01-23 17:40:00,144.41,144.79,144.25,144.6,989,167272,24173974
"61",2019-01-23 17:50:00,144.63,144.67,144.38,144.44,817,131219,18967676
"62",2019-01-23 18:00:00,144.44,144.54,143.99,144.53,1655,367928,53023104
"63",2019-01-23 18:10:00,144.51,144.749,144.22,144.496,1033,191328,27638444
"64",2019-01-23 18:20:00,144.5,144.53,144.205,144.215,872,178687,25800972
"65",2019-01-23 18:30:00,144.21,144.54,144.01,144.02,1136,233358,33673256
"66",2019-01-23 18:40:00,144.02,144.043,143.675,143.9,2040,443814,63854868
"67",2019-01-23 18:50:00,143.88,143.93,143.481,143.68,1557,294171,42265508
"68",2019-01-23 19:00:00,143.66,143.97,143.584,143.9,1740,301890,43413392
"69",2019-01-23 19:10:00,143.89,143.91,143.15,143.15,1790,327326,46991468
"70",2019-01-23 19:20:00,143.15,143.61,143.055,143.52,2308,484886,69505512
