"","times","open","high","low","close","numEvents","volume","value"
"1",2019-01-22 14:30:00,21.62,21.65,21.51,21.625,1057,324291,6998359
"2",2019-01-22 14:40:00,21.63,21.63,21.435,21.46,893,166893,3593994.75
"3",2019-01-22 14:50:00,21.46,21.5,21.44,21.455,977,300867,6458675
"4",2019-01-22 15:00:00,21.455,21.495,21.45,21.47,1026,187488,4023780.25
"5",2019-01-22 15:10:00,21.47,21.48,21.39,21.45,954,254841,5464448.5
"6",2019-01-22 15:20:00,21.46,21.5,21.4,21.43,609,129942,2788044.75
"7",2019-01-22 15:30:00,21.435,21.445,21.4,21.4,375,68181,1460589.5
"8",2019-01-22 15:40:00,21.4,21.42,21.36,21.39,719,123629,2644605
"9",2019-01-22 15:50:00,21.39,21.44,21.385,21.405,810,139577,2988805
"10",2019-01-22 16:00:00,21.4,21.41,21.36,21.4034,571,111611,2387517.75
"11",2019-01-22 16:10:00,21.41,21.45,21.38,21.4,476,86402,1851252.375
"12",2019-01-22 16:20:00,21.41,21.445,21.39,21.39,689,138201,2960148.25
"13",2019-01-22 16:30:00,21.39,21.47,21.3704,21.43,694,145005,3107807
"14",2019-01-22 16:40:00,21.43,21.43,21.37,21.37,594,94979,2032627.875
"15",2019-01-22 16:50:00,21.37,21.375,21.34,21.37,433,79091,1689273.25
"16",2019-01-22 17:00:00,21.37,21.4,21.345,21.38,889,166122,3550183.75
"17",2019-01-22 17:10:00,21.375,21.395,21.36,21.38,349,59507,1272122.5
"18",2019-01-22 17:20:00,21.38,21.395,21.32,21.34,459,77108,1646973.75
"19",2019-01-22 17:30:00,21.34,21.38,21.315,21.35,658,186752,3987805.25
"20",2019-01-22 17:40:00,21.35,21.39,21.345,21.37,336,50888,1087407.375
"21",2019-01-22 17:50:00,21.37,21.4,21.36,21.36,434,72138,1542159
"22",2019-01-22 18:00:00,21.35,21.36,21.26,21.26,532,110791,2360181.5
"23",2019-01-22 18:10:00,21.26,21.27,21.19,21.19,661,126915,2694133.5
"24",2019-01-22 18:20:00,21.18,21.288,21.18,21.25,1166,231801,4924803.5
"25",2019-01-22 18:30:00,21.26,21.315,21.25,21.31,428,83243,1771814.375
"26",2019-01-22 18:40:00,21.31,21.31,21.26,21.295,458,98706,2100887.5
"27",2019-01-22 18:50:00,21.3,21.33,21.29,21.305,477,90449,1927535.125
"28",2019-01-22 19:00:00,21.31,21.325,21.2736,21.275,460,88116,1876842.125
"29",2019-01-22 19:10:00,21.275,21.3,21.255,21.3,412,71469,1520835.875
"30",2019-01-22 19:20:00,21.3,21.31,21.23,21.26,624,127542,2711740.5
"31",2019-01-22 19:30:00,21.26,21.29,21.24,21.265,683,145534,3094729.75
"32",2019-01-22 19:40:00,21.265,21.295,21.23,21.24,834,162865,3461941.5
"33",2019-01-22 19:50:00,21.24,21.27,21.215,21.255,807,144621,3072395.25
"34",2019-01-22 20:00:00,21.26,21.27,21.2,21.2,740,140144,2975457
"35",2019-01-22 20:10:00,21.21,21.2395,21.185,21.23,763,163071,3458308.75
"36",2019-01-22 20:20:00,21.24,21.28,21.2346,21.275,555,120181,2555066.25
"37",2019-01-22 20:30:00,21.275,21.32,21.19,21.32,1066,209908,4458574
"38",2019-01-22 20:40:00,21.32,21.35,21.23,21.235,1495,342031,7279378.5
"39",2019-01-22 20:50:00,21.235,21.33,21.19,21.33,2473,732253,15550307
"40",2019-01-22 21:00:00,21.32,21.32,21.32,21.32,1,3754665,80049456
"41",2019-01-22 21:10:00,21.32,21.32,21.32,21.32,1,0,0
"42",2019-01-23 14:30:00,21.41,21.47,21.36,21.465,677,213231,4567975.5
"43",2019-01-23 14:40:00,21.47,21.5463,21.47,21.52,446,85157,1831352.625
"44",2019-01-23 14:50:00,21.52,21.55,21.51,21.52,534,91629,1973136.375
"45",2019-01-23 15:00:00,21.525,21.57,21.49,21.565,622,135070,2909374.25
"46",2019-01-23 15:10:00,21.57,21.575,21.53,21.54,697,147829,3185899
"47",2019-01-23 15:20:00,21.545,21.575,21.535,21.54,816,176290,3800294.75
"48",2019-01-23 15:30:00,21.54,21.55,21.505,21.515,740,144068,3101273.5
"49",2019-01-23 15:40:00,21.515,21.52,21.49,21.5,750,179701,3864302.75
"50",2019-01-23 15:50:00,21.5,21.5,21.48,21.495,645,144540,3106315
"51",2019-01-23 16:00:00,21.5,21.54,21.4934,21.52,742,162426,3495051.5
"52",2019-01-23 16:10:00,21.52,21.525,21.42,21.43,627,112536,2418248.75
"53",2019-01-23 16:20:00,21.43,21.44,21.37,21.42,615,92714,1984211.875
"54",2019-01-23 16:30:00,21.42,21.42,21.35,21.38,587,98077,2097626.5
"55",2019-01-23 16:40:00,21.38,21.38,21.31,21.31,507,81511,1739922.125
"56",2019-01-23 16:50:00,21.32,21.325,21.25,21.28,449,72050,1533476.375
"57",2019-01-23 17:00:00,21.275,21.295,21.2,21.22,606,98601,2095358.25
"58",2019-01-23 17:10:00,21.22,21.245,21.1901,21.22,475,79906,1695457.125
"59",2019-01-23 17:20:00,21.22,21.275,21.205,21.255,386,65164,1384486.375
"60",2019-01-23 17:30:00,21.25,21.285,21.23,21.2464,512,94993,2019017
"61",2019-01-23 17:40:00,21.25,21.31,21.24,21.3,364,54230,1153833.25
"62",2019-01-23 17:50:00,21.3,21.31,21.275,21.295,327,50445,1074235.25
"63",2019-01-23 18:00:00,21.295,21.3,21.25,21.3,617,112858,2400184.5
"64",2019-01-23 18:10:00,21.295,21.34,21.28,21.32,550,83151,1771311.375
"65",2019-01-23 18:20:00,21.32,21.35,21.32,21.33,417,81542,1739354.125
"66",2019-01-23 18:30:00,21.33,21.38,21.325,21.345,561,115951,2475868.75
"67",2019-01-23 18:40:00,21.35,21.38,21.3325,21.355,487,113193,2417511.25
"68",2019-01-23 18:50:00,21.36,21.39,21.3533,21.38,540,83925,1793464.625
"69",2019-01-23 19:00:00,21.38,21.425,21.37,21.42,416,88660,1897757.875
"70",2019-01-23 19:10:00,21.42,21.43,21.35,21.36,462,85333,1825937.125
"71",2019-01-23 19:20:00,21.37,21.425,21.3671,21.42,519,90260,1931468.625
"72",2019-01-23 19:30:00,21.42,21.43,21.38,21.4,643,106303,2274939.25
"73",2019-01-23 19:40:00,21.3954,21.3954,21.34,21.37,437,78636,1680047.375
"74",2019-01-23 19:50:00,21.365,21.4,21.3567,21.37,514,93763,2004263.5
"75",2019-01-23 20:00:00,21.37,21.425,21.37,21.4,602,118043,2526215.25
"76",2019-01-23 20:10:00,21.4,21.49,21.39,21.4731,1298,305724,6554371
"77",2019-01-23 20:20:00,21.47,21.49,21.46,21.49,566,105034,2255408
"78",2019-01-23 20:30:00,21.49,21.51,21.465,21.49,813,152452,3275316.25
"79",2019-01-23 20:40:00,21.485,21.51,21.475,21.48,1438,299615,6439107.5
"80",2019-01-23 20:50:00,21.485,21.49,21.43,21.45,2403,595396,12774731
"81",2019-01-23 21:00:00,21.44,21.44,21.44,21.44,1,1670048,35805832
"82",2019-01-23 21:10:00,21.44,21.44,21.44,21.44,1,0,0
"83",2019-01-24 14:30:00,21.55,21.78,21.51,21.71,525,209231,4526198
"84",2019-01-24 14:40:00,21.71,21.74,21.64,21.69,597,96756,2098663.5
"85",2019-01-24 14:50:00,21.7,21.76,21.68,21.74,519,82893,1801016.125
"86",2019-01-24 15:00:00,21.73,21.755,21.71,21.74,325,63982,1390399.375
"87",2019-01-24 15:10:00,21.735,21.82,21.73,21.8169,707,125078,2724393.25
"88",2019-01-24 15:20:00,21.8163,21.8972,21.81,21.88,666,149068,3255865.75
"89",2019-01-24 15:30:00,21.89,21.9025,21.84,21.89,511,100568,2199824.75
"90",2019-01-24 15:40:00,21.89,21.9,21.83,21.84,418,79823,1745945.5
"91",2019-01-24 15:50:00,21.83,21.875,21.8,21.84,532,116123,2535826.5
"92",2019-01-24 16:00:00,21.84,21.86,21.81,21.845,394,106406,2323231
"93",2019-01-24 16:10:00,21.85,21.885,21.79,21.79,663,127077,2775098.25
"94",2019-01-24 16:20:00,21.79,21.81,21.78,21.79,389,72807,1587032.875
"95",2019-01-24 16:30:00,21.79,21.88,21.77,21.875,693,133079,2901951.25
"96",2019-01-24 16:40:00,21.8762,21.95,21.865,21.95,630,110102,2411645.25
"97",2019-01-24 16:50:00,21.945,21.95,21.92,21.94,583,118209,2592911.25
"98",2019-01-24 17:00:00,21.93,21.9371,21.88,21.89,409,86008,1884297
"99",2019-01-24 17:10:00,21.88,21.92,21.87,21.915,321,53732,1176405.875
"100",2019-01-24 17:20:00,21.9128,21.92,21.885,21.9,445,75646,1656771.125
"101",2019-01-24 17:30:00,21.905,21.93,21.86,21.869,351,68117,1491616.125
"102",2019-01-24 17:40:00,21.87,21.875,21.85,21.855,271,47284,1033625.1875
"103",2019-01-24 17:50:00,21.85,21.85,21.81,21.835,318,59226,1292940.25
"104",2019-01-24 18:00:00,21.83,21.84,21.78,21.795,342,67813,1478814.75
"105",2019-01-24 18:10:00,21.795,21.795,21.73,21.765,456,84647,1841782.75
"106",2019-01-24 18:20:00,21.77,21.78,21.71,21.72,310,64892,1410779.5
"107",2019-01-24 18:30:00,21.72,21.77,21.72,21.75,315,58949,1282045
"108",2019-01-24 18:40:00,21.745,21.755,21.7,21.74,342,61310,1331936.75
"109",2019-01-24 18:50:00,21.74,21.77,21.72,21.755,346,73280,1593861.5
"110",2019-01-24 19:00:00,21.76,21.795,21.73,21.76,374,76596,1667021.875
"111",2019-01-24 19:10:00,21.76,21.79,21.76,21.765,281,64403,1402301.75
"112",2019-01-24 19:20:00,21.77,21.8,21.76,21.78,321,59610,1298402
"113",2019-01-24 19:30:00,21.77,21.788,21.74,21.78,408,78771,1714405.375
"114",2019-01-24 19:40:00,21.78,21.78,21.755,21.76,330,59008,1284515.875
"115",2019-01-24 19:50:00,21.76,21.775,21.75,21.76,290,47034,1023573.4375
"116",2019-01-24 20:00:00,21.76,21.795,21.75,21.775,537,112468,2448715.25
"117",2019-01-24 20:10:00,21.775,21.8088,21.755,21.79,725,153111,3336013.75
"118",2019-01-24 20:20:00,21.79,21.81,21.77,21.77,486,96157,2095530.375
"119",2019-01-24 20:30:00,21.77,21.775,21.73,21.75,762,145538,3165893
"120",2019-01-24 20:40:00,21.75,21.785,21.74,21.775,1170,267764,5827247
