,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done
0,0,100,23,-42.290000000000454,1,77,False
1,1,77,11,-17.84200000000063,2,66,False
2,2,66,1,-7.533999999998409,3,65,False
3,3,65,1,5.840000000000222,4,64,False
4,4,64,22,-13.800000000000946,5,42,False
5,5,42,29,-7.317999999999561,6,13,False
6,6,13,13,-1.2480000000001064,7,0,True
7,7,100,94,-96.8600000000008,8,6,False
8,8,6,6,0.870000000000075,9,0,True
9,9,100,66,-46.560000000000116,10,34,False
10,10,34,3,-5.190000000000193,11,31,False
11,11,31,31,-8.679999999999964,12,0,True
12,12,100,26,-59.76000000000011,13,74,False
13,13,74,71,-60.02999999999967,14,3,False
14,14,3,3,0.66,15,0,True
15,15,100,72,-25.540000000002323,16,28,False
16,16,28,15,-8.213999999999032,17,13,False
17,17,13,13,0.9099999999998523,18,0,True
18,18,100,8,3.8599999999987493,19,92,False
19,19,92,29,-43.82999999999916,20,63,False
20,20,63,1,-20.8629999999993,21,62,False
21,21,62,10,-28.776000000000465,22,52,False
22,22,52,18,12.82799999999987,23,34,False
23,23,34,34,-9.315999999999915,24,0,True
24,24,100,75,-33.3500000000015,25,25,False
25,25,25,25,-12.374999999999403,26,0,True
26,26,100,39,-42.210000000001024,27,61,False
27,27,61,35,-18.960000000000832,28,26,False
28,28,26,25,-12.697999999999752,29,1,False
29,29,1,1,0.04799999999999272,30,0,True
30,30,100,97,-156.08999999999762,31,3,False
31,31,3,3,0.059999999999948844,32,0,True
32,32,100,42,-55.639999999999546,33,58,False
33,33,58,33,-2.479999999999407,34,25,False
34,34,25,7,10.809999999999954,35,18,False
35,35,18,18,4.914000000000053,36,0,True
