,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done
0,0.0,1.0,0.25,-0.14010151327588125,0.1,0.75,False
1,0.1,0.75,0.1,-0.019127823009411377,0.2,0.65,False
2,0.2,0.65,0.1,-0.019470631179672782,0.3,0.55,False
3,0.3,0.55,0.1,-0.019651557713977367,0.4,0.45,False
4,0.4,0.45,0.05,-0.003504360488184223,0.5,0.4,False
5,0.5,0.4,0.05,-0.0036154557285467226,0.6,0.35,False
6,0.6,0.35,0.15,-0.048284471266009606,0.7,0.2,False
7,0.7,0.2,0.1,-0.019635686965354168,0.8,0.1,False
8,0.8,0.1,0.1,-0.019770588328651487,0.9,0.0,False
9,0.9,0.0,0.0,0.0,1.0,0.0,True
10,0.0,1.0,0.1,-0.019492850227745252,0.1,0.9,False
11,0.1,0.9,0.05,-0.0036154557285467226,0.2,0.85,False
12,0.2,0.85,0.05,-0.003591649605611903,0.3,0.8,False
13,0.3,0.8,0.15,-0.0495366733323811,0.4,0.65,False
14,0.4,0.65,0.05,-0.004115384310177914,0.5,0.6,False
15,0.5,0.6,0.1,-0.020333999904775517,0.6,0.5,False
16,0.6,0.5,0.05,-0.003708299607992531,0.7,0.45,False
17,0.7,0.45,0.05,-0.0038773230808297173,0.8,0.4,False
18,0.8,0.4,0.2,-0.08987446237839042,0.9,0.2,False
19,0.9,0.2,0.2,-0.08973162564078155,1.0,0.0,True
20,0.0,1.0,0.2,-0.09095367328476889,0.1,0.8,False
21,0.1,0.8,0.05,-0.004251079210906375,0.2,0.75,False
22,0.2,0.75,0.2,-0.09342633592026539,0.3,0.55,False
23,0.3,0.55,0.05,-0.004361380913837711,0.4,0.5,False
24,0.4,0.5,0.15,-0.05042702233014331,0.5,0.35,False
25,0.5,0.35,0.0,0.0,0.6,0.35,False
26,0.6,0.35,0.05,-0.00432170404227967,0.7,0.3,False
27,0.7,0.3,0.05,-0.004535959148693048,0.8,0.25,False
28,0.8,0.25,0.0,0.0,0.9,0.25,False
29,0.9,0.25,0.25,-0.14910022774524279,1.0,0.0,True
30,0.0,1.0,0.15,-0.05182206113412373,0.1,0.85,False
31,0.1,0.85,0.15,-0.05329804075608244,0.2,0.7,False
32,0.2,0.7,0.15,-0.053179010141408384,0.3,0.55,False
33,0.3,0.55,0.05,-0.005527880937643833,0.4,0.5,False
34,0.4,0.5,0.15,-0.053738454030376595,0.5,0.35,False
35,0.5,0.35,0.05,-0.0050541390912409315,0.6,0.3,False
36,0.6,0.3,0.05,-0.004694666634925165,0.7,0.25,False
37,0.7,0.25,0.15,-0.052988561157929805,0.8,0.1,False
38,0.8,0.1,0.0,0.0,0.9,0.1,False
39,0.9,0.1,0.1,-0.022730482946880598,1.0,0.0,True
40,0.0,1.0,0.05,-0.004289962545033252,0.1,0.95,False
41,0.1,0.95,0.2,-0.09016013585360826,0.2,0.75,False
42,0.2,0.75,0.05,-0.004036030567061857,0.3,0.7,False
43,0.3,0.7,0.1,-0.020532384262565675,0.4,0.6,False
44,0.4,0.6,0.2,-0.09231855766636518,0.5,0.4,False
45,0.5,0.4,0.1,-0.021862352997190877,0.6,0.3,False
46,0.6,0.3,0.1,-0.021873462521227134,0.7,0.2,False
47,0.7,0.2,0.1,-0.02244480947166281,0.8,0.1,False
48,0.8,0.1,0.05,-0.0048176649367550626,0.9,0.05,False
49,0.9,0.05,0.05,-0.0049724047358314025,1.0,0.0,True
50,0.0,1.0,0.05,-0.005448527194527774,0.1,0.95,False
51,0.1,0.95,0.05,-0.005432656445904554,0.2,0.9,False
52,0.2,0.9,0.15,-0.05375035709184406,0.3,0.75,False
53,0.3,0.75,0.2,-0.09809551016521453,0.4,0.55,False
54,0.4,0.55,0.05,-0.005980197273405385,0.5,0.5,False
55,0.5,0.5,0.2,-0.09977780951927506,0.6,0.3,False
56,0.6,0.3,0.15,-0.056107163262391076,0.7,0.15,False
57,0.7,0.15,0.05,-0.005956391150470565,0.8,0.1,False
58,0.8,0.1,0.1,-0.024333428557825096,0.9,0.0,False
59,0.9,0.0,0.0,0.0,1.0,0.0,True
60,0.0,1.0,0.0,0.0,0.1,1.0,False
61,0.1,1.0,0.35,-0.3025283094478567,0.2,0.65,False
62,0.2,0.65,0.1,-0.02358750337253411,0.3,0.55,False
63,0.3,0.55,0.05,-0.005480268691774193,0.4,0.5,False
64,0.4,0.5,0.15,-0.0533456530019521,0.5,0.35,False
65,0.5,0.35,0.05,-0.00524300099985716,0.6,0.3,False
66,0.6,0.3,0.0,0.0,0.7,0.3,False
67,0.7,0.3,0.15,-0.05246482645336379,0.8,0.15,False
68,0.8,0.15,0.0,0.0,0.9,0.15,False
69,0.9,0.15,0.15,-0.05282191829738609,1.0,0.0,True
70,0.0,1.0,0.1,-0.022968544176228796,0.1,0.9,False
71,0.1,0.9,0.15,-0.053774163214778854,0.2,0.75,False
72,0.2,0.75,0.15,-0.05335993667571299,0.3,0.6,False
73,0.3,0.6,0.0,0.0,0.4,0.6,False
74,0.4,0.6,0.1,-0.022424177498452623,0.5,0.5,False
75,0.5,0.5,0.2,-0.09390563252868644,0.6,0.3,False
76,0.6,0.3,0.1,-0.02207978225332889,0.7,0.2,False
77,0.7,0.2,0.0,0.0,0.8,0.2,False
78,0.8,0.2,0.1,-0.021746496532241456,0.9,0.1,False
79,0.9,0.1,0.1,-0.021746496532241456,1.0,0.0,True
80,0.0,1.0,0.1,-0.021746496532241456,0.1,0.9,False
81,0.1,0.9,0.0,0.0,0.2,0.9,False
82,0.2,0.9,0.15,-0.05196489787173265,0.3,0.75,False
83,0.3,0.75,0.15,-0.0535289601485502,0.4,0.6,False
84,0.4,0.6,0.1,-0.023079639416591274,0.5,0.5,False
85,0.5,0.5,0.1,-0.022587646209271724,0.6,0.4,False
86,0.6,0.4,0.15,-0.05217915297814596,0.7,0.25,False
87,0.7,0.25,0.0,0.0,0.8,0.25,False
88,0.8,0.25,0.05,-0.0056627823009411295,0.9,0.2,False
89,0.9,0.2,0.2,-0.09873034011014299,1.0,0.0,True
90,0.0,1.0,0.05,-0.005797683664238449,0.1,0.95,False
91,0.1,0.95,0.15,-0.05563104080369473,0.2,0.8,False
92,0.2,0.8,0.15,-0.05553581631195547,0.3,0.65,False
