,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done,PandL_vs_TWAP,PandL_agent,PandL_TWAP,,
0,0,100,85,-109.25,1,15,FALSE,3442.610927,13151.2,371.2290249,,
1,1,15,15,-5.49,2,0,FALSE,528.6140451,2328.06,370.3480726,,
2,2,0,0,0,3,0,FALSE,-100,0,369.8337868,,
3,3,0,0,0,4,0,FALSE,-100,0,369.5623583,,
4,4,0,0,0,5,0,FALSE,-100,0,369.776644,,
5,5,0,0,0,6,0,FALSE,-100,0,369.4433107,,
6,6,0,0,0,7,0,FALSE,-100,0,369.5052154,,
7,7,0,0,0,8,0,FALSE,-100,0,369.5861678,,
8,8,0,0,0,9,0,FALSE,-100,0,369.3837868,,
9,9,0,0,0,10,0,FALSE,-100,0,369.8718821,,
10,10,0,0,0,11,0,FALSE,-100,0,369.8004535,,
11,11,0,0,0,12,0,FALSE,-100,0,369.4433107,,
12,12,0,0,0,13,0,FALSE,-100,0,369.5147392,,
13,13,0,0,0,14,0,FALSE,-100,0,368.2528345,,
14,14,0,0,0,15,0,FALSE,-100,0,367.9433107,,
15,15,0,0,0,16,0,FALSE,-100,0,368.5385488,,
16,16,0,0,0,17,0,FALSE,-100,0,369.1647392,,
17,17,0,0,0,18,0,FALSE,-100,0,368.6575964,,
18,18,0,0,0,19,0,FALSE,-100,0,369.1337868,,
19,19,0,0,0,20,0,FALSE,-100,0,369.2409297,,
20,20,0,0,0,21,0,FALSE,-100,0,368.324263,,
21,21,0,0,0,22,0,FALSE,-100,0,367.5361678,,
22,22,0,0,0,23,0,FALSE,-100,0,366.4695011,,
23,23,0,0,0,24,0,FALSE,-100,0,367.2052154,,
24,24,0,0,0,25,0,FALSE,-100,0,367.3623583,,
25,25,0,0,0,26,0,FALSE,-100,0,367.9075964,,
26,26,0,0,0,27,0,FALSE,-100,0,367.324263,,
27,27,0,0,0,28,0,FALSE,-100,0,366.6814059,,
28,28,0,0,0,29,0,FALSE,-100,0,366.4195011,,
29,29,0,0,0,30,0,FALSE,-100,0,365.8290249,,
30,30,0,0,0,31,0,FALSE,-100,0,365.9671202,,
31,31,0,0,0,32,0,FALSE,-100,0,364.4909297,,
32,32,0,0,0,33,0,FALSE,-100,0,364.6099773,,
33,33,0,0,0,34,0,FALSE,-100,0,363.7052154,,
34,34,0,0,0,35,0,FALSE,-100,0,364.0504535,,
35,35,0,0,0,36,0,FALSE,-100,0,365.126644,,
36,36,0,0,0,37,0,FALSE,-100,0,366.2052154,,
37,37,0,0,0,38,0,FALSE,-100,0,364.8004535,,
38,38,0,0,0,39,0,FALSE,-100,0,364.9433107,,
39,39,0,0,0,40,0,FALSE,-100,0,364.9433107,,
40,40,0,0,0,41,0,FALSE,-100,0,367.4195011,,
41,41,0,0,0,42,0,TRUE,-100,0,368.9195011,,
42,42,100,16,-0.06,43,84,FALSE,571.5168013,2472.4,368.1814059,,
43,43,84,40,-49.18,44,44,FALSE,1571.622979,6155.6,368.2409297,,
44,44,44,44,-38.852,45,0,FALSE,1737.707505,6749.908,367.3004535,,
45,45,0,0,0,46,0,FALSE,-100,0,366.2456916,,
46,46,0,0,0,47,0,FALSE,-100,0,366.2290249,,
47,47,0,0,0,48,0,FALSE,-100,0,365.3718821,,
48,48,0,0,0,49,0,FALSE,-100,0,365.8361678,,
49,49,0,0,0,50,0,FALSE,-100,0,365.3718821,,
50,50,0,0,0,51,0,FALSE,-100,0,363.9433107,,
51,51,0,0,0,52,0,FALSE,-100,0,363.9909297,,
52,52,0,0,0,53,0,FALSE,-100,0,364.0385488,,
53,53,0,0,0,54,0,FALSE,-100,0,362.9671202,,
54,54,0,0,0,55,0,FALSE,-100,0,362.3480726,,
55,55,0,0,0,56,0,FALSE,-100,0,361.7052154,,
56,56,0,0,0,57,0,FALSE,-100,0,361.6814059,,
57,57,0,0,0,58,0,FALSE,-100,0,362.4195011,,
58,58,0,0,0,59,0,FALSE,-100,0,362.5385488,,
59,59,0,0,0,60,0,FALSE,-100,0,363.2290249,,
60,60,0,0,0,61,0,FALSE,-100,0,363.4909297,,
61,61,0,0,0,62,0,FALSE,-100,0,363.1337868,,
62,62,0,0,0,63,0,FALSE,-100,0,363.6575964,,
63,63,0,0,0,64,0,FALSE,-100,0,363.8480726,,
64,64,0,0,0,65,0,FALSE,-100,0,364.4433107,,
65,65,0,0,0,66,0,FALSE,-100,0,364.5599773,,
66,66,0,0,0,67,0,FALSE,-100,0,364.9504535,,
67,67,0,0,0,68,0,FALSE,-100,0,365.324263,,
68,68,0,0,0,69,0,FALSE,-100,0,363.824263,,
69,69,0,0,0,70,0,FALSE,-100,0,364.9671202,,
70,70,0,0,0,71,0,FALSE,-100,0,364.5861678,,
71,71,0,0,0,72,0,FALSE,-100,0,364.0147392,,
72,72,0,0,0,73,0,FALSE,-100,0,364.4290249,,
73,73,0,0,0,74,0,FALSE,-100,0,364.6695011,,
74,74,0,0,0,75,0,FALSE,-100,0,365.4028345,,
75,75,0,0,0,76,0,FALSE,-100,0,366.1099773,,
76,76,0,0,0,77,0,FALSE,-100,0,365.9195011,,
77,77,0,0,0,78,0,FALSE,-100,0,366.0623583,,
78,78,0,0,0,79,0,FALSE,-100,0,366.4195011,,
79,79,0,0,0,80,0,FALSE,-100,0,366.4195011,,
80,80,0,0,0,81,0,FALSE,-100,0,366.4195011,,
81,81,0,0,0,82,0,FALSE,-100,0,366.8956916,,
82,82,0,0,0,83,0,FALSE,-100,0,365.824263,,
83,83,0,0,0,84,0,TRUE,-100,0,364.2599773,,
84,84,100,70,-18,85,30,FALSE,2832.965982,10688.3,364.4195011,,
85,85,30,30,-3.3,86,0,FALSE,1159.291891,4598.4,365.1575964,,
86,86,0,0,0,87,0,FALSE,-100,0,365.6099773,,
87,87,0,0,0,88,0,FALSE,-100,0,364.3480726,,
88,88,0,0,0,89,0,FALSE,-100,0,363.3004535,,
89,89,0,0,0,90,0,FALSE,-100,0,362.4909297,,
90,90,0,0,0,91,0,FALSE,-100,0,362.8956916,,
91,91,0,0,0,92,0,FALSE,-100,0,362.1575964,,
92,92,0,0,0,93,0,FALSE,-100,0,362.2528345,,
93,93,0,0,0,94,0,FALSE,-100,0,363.2528345,,
94,94,0,0,0,95,0,FALSE,-100,0,363.5980726,,
95,95,0,0,0,96,0,FALSE,-100,0,364.0980726,,
96,96,0,0,0,97,0,FALSE,-100,0,363.2528345,,
97,97,0,0,0,98,0,FALSE,-100,0,363.3956916,,
98,98,0,0,0,99,0,FALSE,-100,0,363.4147392,,
99,99,0,0,0,100,0,FALSE,-100,0,362.5623583,,
100,100,0,0,0,101,0,FALSE,-100,0,362.8004535,,
101,101,0,0,0,102,0,FALSE,-100,0,362.3718821,,
102,102,0,0,0,103,0,FALSE,-100,0,362.4671202,,
103,103,0,0,0,104,0,FALSE,-100,0,362.5861678,,
104,104,0,0,0,105,0,FALSE,-100,0,362.5385488,,
105,105,0,0,0,106,0,FALSE,-100,0,361.9909297,,
106,106,0,0,0,107,0,FALSE,-100,0,361.7052154,,
107,107,0,0,0,108,0,FALSE,-100,0,361.9195011,,
108,108,0,0,0,109,0,FALSE,-100,0,362.1575964,,
109,109,0,0,0,110,0,FALSE,-100,0,361.7171202,,
110,110,0,0,0,111,0,FALSE,-100,0,361.5385488,,
111,111,0,0,0,112,0,FALSE,-100,0,361.9195011,,
112,112,0,0,0,113,0,FALSE,-100,0,361.7290249,,
113,113,0,0,0,114,0,FALSE,-100,0,362.3480726,,
114,114,0,0,0,115,0,FALSE,-100,0,362.8480726,,
115,115,0,0,0,116,0,FALSE,-100,0,362.824263,,
116,116,0,0,0,117,0,FALSE,-100,0,362.7290249,,
117,117,0,0,0,118,0,FALSE,-100,0,362.1695011,,
118,118,0,0,0,119,0,FALSE,-100,0,362.5147392,,
119,119,0,0,0,120,0,FALSE,-100,0,363.5147392,,
120,120,0,0,0,121,0,FALSE,-100,0,363.5147392,,
121,121,0,0,0,122,0,FALSE,-100,0,363.5147392,,
122,122,0,0,0,123,0,FALSE,-100,0,363.5147392,,
123,123,0,0,0,124,0,FALSE,-100,0,369.3956916,,
124,124,0,0,0,125,0,FALSE,-100,0,370.7290249,,
125,125,0,0,0,126,0,TRUE,-100,0,372.1575964,,
126,126,100,36,-38.96,127,64,FALSE,1406.255643,5627.88,373.6337868,,
127,127,64,54,-25.32,128,10,FALSE,2161.395895,8435.34,373.0147392,,
128,128,10,0,1.8,129,10,FALSE,-100,0,373.1575964,,
129,129,10,10,-0.5,130,0,FALSE,319.9298944,1568.8,373.5861678,,
130,130,0,0,0,131,0,FALSE,-100,0,373.7052154,,
131,131,0,0,0,132,0,FALSE,-100,0,374.1337868,,
132,132,0,0,0,133,0,FALSE,-100,0,373.4314059,,
133,133,0,0,0,134,0,FALSE,-100,0,372.824263,,
134,134,0,0,0,135,0,FALSE,-100,0,372.2290249,,
135,135,0,0,0,136,0,FALSE,-100,0,373.1814059,,
136,136,0,0,0,137,0,FALSE,-100,0,373.776644,,
137,137,0,0,0,138,0,FALSE,-100,0,373.8171202,,
138,138,0,0,0,139,0,FALSE,-100,0,373.3480726,,
139,139,0,0,0,140,0,FALSE,-100,0,373.0147392,,
140,140,0,0,0,141,0,FALSE,-100,0,373.5861678,,
141,141,0,0,0,142,0,FALSE,-100,0,374.276644,,
142,142,0,0,0,143,0,FALSE,-100,0,373.1456916,,
143,143,0,0,0,144,0,FALSE,-100,0,373.4075964,,
144,144,0,0,0,145,0,FALSE,-100,0,373.4195011,,
145,145,0,0,0,146,0,FALSE,-100,0,373.2528345,,
146,146,0,0,0,147,0,FALSE,-100,0,374.0861678,,
147,147,0,0,0,148,0,FALSE,-100,0,374.7290249,,
148,148,0,0,0,149,0,FALSE,-100,0,374.9599773,,
149,149,0,0,0,150,0,FALSE,-100,0,375.2456916,,
150,150,0,0,0,151,0,FALSE,-100,0,376.0623583,,
151,151,0,0,0,152,0,FALSE,-100,0,376.0933107,,
152,152,0,0,0,153,0,FALSE,-100,0,374.776644,,
153,153,0,0,0,154,0,FALSE,-100,0,375.3956916,,
154,154,0,0,0,155,0,FALSE,-100,0,375.0623583,,
155,155,0,0,0,156,0,FALSE,-100,0,375.2218821,,
156,156,0,0,0,157,0,FALSE,-100,0,374.6337868,,
157,157,0,0,0,158,0,FALSE,-100,0,375.6099773,,
158,158,0,0,0,159,0,FALSE,-100,0,375.076644,,
159,159,0,0,0,160,0,FALSE,-100,0,374.7528345,,
160,160,0,0,0,161,0,FALSE,-100,0,375.324263,,
161,161,0,0,0,162,0,FALSE,-100,0,375.5623583,,
162,162,0,0,0,163,0,FALSE,-100,0,375.5623583,,
163,163,0,0,0,164,0,FALSE,-100,0,375.5623583,,
164,164,0,0,0,165,0,FALSE,-100,0,368.6385488,,
165,165,0,0,0,166,0,FALSE,-100,0,366.926644,,
166,166,0,0,0,167,0,FALSE,-100,0,367.9552154,,
167,167,0,0,0,168,0,TRUE,-100,0,370.2052154,,
168,168,100,67,-65.89,169,33,FALSE,2698.500617,10357.53,370.1099773,,
169,169,33,8,-11.959,170,25,FALSE,235.1359747,1238.696,369.6099773,,
170,170,25,16,-13.235,171,9,FALSE,569.5566131,2469.28,368.7933107,,
171,171,9,9,-2.07,172,0,FALSE,277.4954236,1388.34,367.776644,,
172,172,0,0,0,173,0,FALSE,-100,0,367.4433107,,
173,173,0,0,0,174,0,FALSE,-100,0,367.8004535,,
174,174,0,0,0,175,0,FALSE,-100,0,368.6337868,,
175,175,0,0,0,176,0,FALSE,-100,0,368.824263,,
176,176,0,0,0,177,0,FALSE,-100,0,368.6814059,,
177,177,0,0,0,178,0,FALSE,-100,0,368.1575964,,
178,178,0,0,0,179,0,FALSE,-100,0,367.7052154,,
179,179,0,0,0,180,0,FALSE,-100,0,368.6337868,,
180,180,0,0,0,181,0,FALSE,-100,0,368.2528345,,
181,181,0,0,0,182,0,FALSE,-100,0,369.0623583,,
182,182,0,0,0,183,0,FALSE,-100,0,369.0623583,,
183,183,0,0,0,184,0,FALSE,-100,0,368.9671202,,
