,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done,PandL_vs_TWAP,PandL_agent,PandL_TWAP
0,0.0,1.0,0.01,0.0,0.02,0.99,False,-49.99996786008595,1.555699,3.1113959999999996
1,0.02,0.99,0.02,-0.0004,0.04,0.97,False,0.0,3.1070759999999997,3.1070759999999997
2,0.04,0.97,0.0,0.0,0.06,0.97,False,-100.0,0.0,3.1047960000000003
3,0.06,0.97,0.03,-0.0027,0.08,0.94,False,49.99990343127976,4.659891,3.106596
4,0.08,0.94,0.0,0.0,0.1,0.94,False,-100.0,0.0,3.103796
5,0.1,0.94,0.03,-0.0045,0.12,0.91,False,49.999903360353755,4.656471,3.1043160000000003
6,0.12,0.91,0.01,-0.0006000000000000001,0.14,0.9,False,-49.999967793839346,1.552499,3.104996
7,0.14,0.9,0.04,-0.0112,0.16,0.86,False,99.99974220957333,6.206584,3.103296
8,0.16,0.86,0.01,-0.0008,0.18,0.85,False,-49.9999678187138,1.5536990000000002,3.107396
9,0.18,0.85,0.0,0.0,0.2,0.85,False,-100.0,0.0,3.106796
10,0.2,0.85,0.03,-0.009,0.22,0.82,False,49.99990334416305,4.655690999999999,3.103796
11,0.22,0.82,0.03,-0.009899999999999999,0.24,0.79,False,49.999903362844165,4.656591,3.104396
12,0.24,0.79,0.02,-0.0048000000000000004,0.26,0.77,False,0.0,3.0937959999999998,3.0937959999999998
13,0.26,0.77,0.0,0.0,0.28,0.77,False,-100.0,0.0,3.091196
14,0.28,0.77,0.01,-0.0014,0.3,0.76,False,-49.999967702303074,1.5480990000000001,3.096196
15,0.3,0.76,0.02,-0.006,0.32,0.74,False,0.0,3.1014559999999993,3.1014559999999993
16,0.32,0.74,0.04,-0.0256,0.34,0.7,False,99.99974170184905,6.194384000000001,3.0971960000000003
17,0.34,0.7,0.02,-0.0068000000000000005,0.36,0.68,False,0.0,3.101196,3.101196
18,0.36,0.68,0.03,-0.0162,0.38,0.65,False,49.999903291194045,4.653140999999999,3.102096
19,0.38,0.65,0.04,-0.0304,0.4,0.61,False,99.99974146812498,6.188784000000001,3.094396
20,0.4,0.61,0.03,-0.018,0.42,0.58,False,49.99990284269322,4.631660999999999,3.0877760000000003
21,0.42,0.58,0.03,-0.0189,0.44,0.55,False,49.999902559945085,4.618220999999999,3.078816
22,0.44,0.55,0.01,-0.0022,0.46,0.54,False,-49.99996758504711,1.542499,3.084996
23,0.46,0.54,0.02,-0.0092,0.48,0.52,False,0.0,3.086316,3.086316
24,0.48,0.52,0.03,-0.0216,0.5,0.49,False,49.99990294076537,4.636340999999999,3.090896
