,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done,,,PandL_vs_TWAP,PandL_agent,PandL_TWAP
0,0,1,0.03,0.012267876,0.02,0.97,FALSE,,0,2112.535712,0.025390232,0.001147563
1,0.02,0.97,0.03,0.012410713,0.04,0.94,FALSE,,1,695.2078095,0.00859099,0.001080345
2,0.04,0.94,0.03,0.012596401,0.06,0.91,FALSE,,2,1662.92221,0.018420236,0.001044869
3,0.06,0.91,0.03,0.012501176,0.08,0.88,FALSE,,3,-100,0,0.001072877
4,0.08,0.88,0.03,0.012524982,0.1,0.85,FALSE,,4,-100,0,0.00102931
5,0.1,0.85,0.03,0.012329772,0.12,0.82,FALSE,,5,-100,0,0.001037401
6,0.12,0.82,0.03,0.011971252,0.14,0.79,FALSE,,6,-100,0,0.001047981
7,0.14,0.79,0.03,0.011915545,0.16,0.76,FALSE,,7,-100,0,0.00102153
8,0.16,0.76,0.03,0.011510841,0.18,0.73,FALSE,,8,-100,0,0.001085324
9,0.18,0.73,0.03,0.011458468,0.2,0.7,FALSE,,9,-100,0,0.001075989
10,0.2,0.7,0.03,0.011534647,0.22,0.67,FALSE,,10,-100,0,0.00102931
11,0.22,0.67,0.03,0.01127278,0.24,0.64,FALSE,,11,-100,0,0.001038646
12,0.24,0.64,0.03,0.011463229,0.26,0.61,FALSE,,12,-100,0,0.000873714
13,0.26,0.61,0.03,0.011467038,0.28,0.58,FALSE,,13,-100,0,0.00083326
14,0.28,0.58,0.03,0.011244213,0.3,0.55,FALSE,,14,-100,0,0.000911057
15,0.3,0.55,0.03,0.011087092,0.32,0.52,FALSE,,15,-100,0,0.000992901
16,0.32,0.52,0.03,0.010752378,0.34,0.49,FALSE,,16,-100,0,0.000926617
17,0.34,0.49,0.03,0.011148988,0.36,0.46,FALSE,,17,-100,0,0.000988855
18,0.36,0.46,0.03,0.011087092,0.38,0.43,FALSE,,18,-100,0,0.001002859
19,0.38,0.43,0.03,0.011229929,0.4,0.4,FALSE,,19,-100,0,0.00088305
20,0.4,0.4,0.03,0.01107757,0.42,0.37,FALSE,,20,-100,0,0.000780046
21,0.42,0.37,0.03,0.010779517,0.44,0.34,FALSE,,21,-100,0,0.000640632
22,0.44,0.34,0.03,0.011225168,0.46,0.31,FALSE,,22,-100,0,0.00073679
23,0.46,0.31,0.03,0.011677484,0.48,0.28,FALSE,,23,-100,0,0.000757329
24,0.48,0.28,0.03,0.011677484,0.5,0.25,FALSE,,24,-100,0,0.000828592
25,0.5,0.25,0.03,0.011677484,0.52,0.22,FALSE,,25,-100,0,0.00075235
26,0.52,0.22,0.03,0.011677484,0.54,0.19,FALSE,,26,-100,0,0.000668328
27,0.54,0.19,0.03,0.011303728,0.56,0.16,FALSE,,27,-100,0,0.000634097
28,0.56,0.16,0.03,0.012372623,0.58,0.13,FALSE,,28,-100,0,0.000556922
29,0.58,0.13,0.03,0.012567833,0.6,0.1,FALSE,,29,-100,0,0.000574971
30,0.6,0.1,0.03,0.01228216,0.62,0.07,FALSE,,30,-100,0,0.000382032
31,0.62,0.07,0.03,0.012363101,0.64,0.04,FALSE,,31,-100,0,0.000397592
32,0.64,0.04,0.03,0.012006009,0.66,0.01,FALSE,,32,-100,0,0.000279339
33,0.66,0.01,0.01,0.006808192,0.68,0,FALSE,,33,-100,0,0.000324462
34,0.68,0,0,0,0.7,0,FALSE,,34,-100,0,0.00046512
35,0.7,0,0,0,0.72,0,FALSE,,35,-100,0,0.00060609
36,0.72,0,0,0,0.74,0,FALSE,,36,-100,0,0.000422487
