,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done,PandL_vs_TWAP,PandL_agent,PandL_TWAP
0,0.0,1.0,0.03,-9e-06,0.02,0.97,False,52.72832444009783,0.001752653097176588,0.0011475625779316415
1,0.02,0.97,0.02,-4.000000000000001e-06,0.04,0.95,False,1.9927401569386463,0.0011018737640654446,0.0010803452896450917
2,0.04,0.95,0.01,-1.0000000000000002e-06,0.06,0.94,False,-48.90804743415247,0.0005338442286022638,0.001044869498604977
3,0.06,0.94,0.05,-2.5000000000000005e-05,0.08,0.89,False,153.58361371793913,0.0027206395118157785,0.0010728767020577062
4,0.08,0.89,0.0,0.0,0.1,0.89,False,-100.0,0.0,0.0010293099411312358
5,0.1,0.89,0.05,-2.5000000000000005e-05,0.12,0.84,False,153.53517784012098,0.0026301762446634637,0.0010374009110175827
6,0.12,0.84,0.01,-1.0000000000000002e-06,0.14,0.83,False,-48.90832048121598,0.0005354313034645836,0.0010479814100997219
7,0.14,0.83,0.03,-9e-06,0.16,0.8,False,52.69480616690593,0.001559823501404555,0.001021530162394365
8,0.16,0.8,0.03,-9e-06,0.18,0.77,False,52.71274512872919,0.0016574286054373182,0.001085324348036694
9,0.18,0.77,0.01,-1.0000000000000002e-06,0.2,0.76,False,-48.910706832616626,0.0005497149772254754,0.001075988613552451
10,0.2,0.76,0.02,-4.000000000000001e-06,0.22,0.74,False,1.9923801986733831,0.0010498177085813112,0.0010293099411312358
11,0.22,0.74,0.04,-1.6000000000000003e-05,0.24,0.7,False,103.2146635819511,0.0021106803155104786,0.0010386456756154789
12,0.24,0.7,0.05,-2.5000000000000005e-05,0.26,0.65,False,153.26074984962275,0.0022127755558729646,0.0008737143663938577
13,0.26,0.65,0.02,-4.000000000000001e-06,0.28,0.63,False,1.9905874015294853,0.0008498462759288347,0.0008332595169621409
14,0.28,0.63,0.0,0.0,0.3,0.63,False,-100.0,0.0,0.0009110573043308299
15,0.3,0.63,0.04,-1.6000000000000003e-05,0.32,0.59,False,103.17848141727552,0.002017360313605976,0.0009929005766426834
16,0.32,0.59,0.03,-9e-06,0.34,0.56,False,52.66354518384742,0.0014146061515021705,0.0009266168618045712
17,0.34,0.56,0.03,-9e-06,0.36,0.53,False,52.68472154464357,0.0015098306432414403,0.000988855091699519
18,0.36,0.53,0.03,-9e-06,0.38,0.5,False,52.68912399331419,0.0015312561538827713,0.0010028586934258791
19,0.38,0.5,0.03,-9e-06,0.4,0.47,False,52.64694561999107,0.0013479490072846707,0.0008830501008781007
20,0.4,0.47,0.04,-1.6000000000000003e-05,0.42,0.43,False,102.95430980755394,0.0015831366312749004,0.0007800458304019599
21,0.42,0.43,0.0,0.0,0.44,0.43,False,-100.0,0.0,0.0006406321954372669
22,0.44,0.43,0.01,-1.0000000000000002e-06,0.46,0.42,False,-48.869598668023855,0.000376723817232458,0.0007367902606249658
23,0.46,0.42,0.0,0.0,0.48,0.42,False,-100.0,0.0,0.0007573288764903005
24,0.48,0.42,0.01,-1.0000000000000002e-06,0.5,0.41,False,-48.884046102317086,0.00042354252567093306,0.0008285916497200148
25,0.5,0.41,0.03,-9e-06,0.52,0.38,False,52.58561204059272,0.0011479775746321983,0.0007523498180987071
26,0.52,0.38,0.01,-1.0000000000000002e-06,0.54,0.37,False,-48.85624064604819,0.0003418081702613906,0.0006683282077405198
27,0.54,0.37,0.01,-1.0000000000000002e-06,0.56,0.36,False,-48.84847995826787,0.0003243503467758546,0.0006340971812982925
28,0.56,0.36,0.0,0.0,0.58,0.36,False,-100.0,0.0,0.0005569217762285559
29,0.58,0.36,0.02,-4.000000000000001e-06,0.6,0.34,False,1.9863590700659648,0.0005863918487835023,0.0005749708628980895
30,0.6,0.34,0.02,-4.000000000000001e-06,0.62,0.32,False,1.9794699656971286,0.0003895945658556742,0.00038203235022374825
31,0.62,0.32,0.0,0.0,0.64,0.32,False,-100.0,0.0,0.00039759190769748075
32,0.64,0.32,0.03,-9e-06,0.66,0.29,False,51.883920957904905,0.00042427143741370106,0.0002793392708970749
