,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done,PandL_vs_TWAP,PandL_agent,PandL_TWAP
0,0,1,1,0,0.1,0,FALSE,744.0796252,0.04872177,0.005772177
1,0.1,0,0,0,0.2,0,FALSE,-100,0,0.005429369
2,0.2,0,0,0,0.3,0,FALSE,-100,0,0.005248442
3,0.3,0,0,0,0.4,0,FALSE,-100,0,0.005391279
4,0.4,0,0,0,0.5,0,FALSE,-100,0,0.005169089
5,0.5,0,0,0,0.6,0,FALSE,-100,0,0.005210352
6,0.6,0,0,0,0.7,0,FALSE,-100,0,0.005264313
7,0.7,0,0,0,0.8,0,FALSE,-100,0,0.005129412
8,0.8,0,0,0,0.9,0,FALSE,-100,0,0.005454762
9,0.9,0,0,0,1,0,TRUE,-100,0,0.00540715
10,0,1,1,-10,0.1,0,FALSE,725.8880666,0.042690885,0.005169089
11,0.1,0,0,0,0.2,0,FALSE,-100,0,0.005216701
12,0.2,0,0,0,0.3,0,FALSE,-100,0,0.004375551
13,0.3,0,0,0,0.4,0,FALSE,-100,0,0.004169231
14,0.4,0,0,0,0.5,0,FALSE,-100,0,0.004566
15,0.5,0,0,0,0.6,0,FALSE,-100,0,0.004983401
16,0.6,0,0,0,0.7,0,FALSE,-100,0,0.004645354
17,0.7,0,0,0,0.8,0,FALSE,-100,0,0.004962769
18,0.8,0,0,0,0.9,0,FALSE,-100,0,0.005034187
19,0.9,0,0,0,1,0,TRUE,-100,0,0.004423163
20,0,1,1,-20,0.1,0,FALSE,669.1029812,0.029978416,0.003897842
21,0.1,0,0,0,0.2,0,FALSE,-100,0,0.003186832
22,0.2,0,0,0,0.3,0,FALSE,-100,0,0.003677238
23,0.3,0,0,0,0.4,0,FALSE,-100,0,0.003781985
24,0.4,0,0,0,0.5,0,FALSE,-100,0,0.004145425
25,0.5,0,0,0,0.6,0,FALSE,-100,0,0.003756592
26,0.6,0,0,0,0.7,0,FALSE,-100,0,0.003328082
27,0.7,0,0,0,0.8,0,FALSE,-100,0,0.003153503
28,0.8,0,0,0,0.9,0,FALSE,-100,0,0.002759909
29,0.9,0,0,0,1,0,TRUE,-100,0,0.002851959
30,0,1,1,-30,0.1,0,FALSE,418.1942768,0.009679728,0.001867973
31,0.1,0,0,0,0.2,0,FALSE,-100,0,0.001947327
32,0.2,0,0,0,0.3,0,FALSE,-100,0,0.001344238
33,0.3,0,0,0,0.4,0,FALSE,-100,0,0.001574364
34,0.4,0,0,0,0.5,0,FALSE,-100,0,0.002291722
35,0.5,0,0,0,0.6,0,FALSE,-100,0,0.003010667
36,0.6,0,0,0,0.7,0,FALSE,-100,0,0.002074293
37,0.7,0,0,0,0.8,0,FALSE,-100,0,0.002169517
38,0.8,0,0,0,0.9,0,FALSE,-100,0,0.002169517
39,0.9,0,0,0,1,0,TRUE,-100,0,0.003820075
40,0,1,0,0,0.1,1,FALSE,-100,0,0.004819932
41,0.1,1,0,0,0.2,1,FALSE,-100,0,0.004327939
42,0.2,1,0,0,0.3,1,FALSE,-100,0,0.004367616
43,0.3,1,0,0,0.4,1,FALSE,-100,0,0.003740721
44,0.4,1,0,0,0.5,1,FALSE,-100,0,0.003037647
45,0.5,1,0,0,0.6,1,FALSE,-100,0,0.003026537
46,0.6,1,0,0,0.7,1,FALSE,-100,0,0.002455191
47,0.7,1,0,0,0.8,1,FALSE,-100,0,0.00276467
48,0.8,1,0,0,0.9,1,FALSE,-100,0,0.002455191
49,0.9,1,1,-49,1,0,TRUE,301.1759351,0.006029456,0.001502946
50,0,1,0,0,0.1,1,FALSE,-100,0,0.001534687
51,0.1,1,0,0,0.2,1,FALSE,-100,0,0.001566429
52,0.2,1,0,0,0.3,1,FALSE,-100,0,0.000852245
53,0.3,1,0,0,0.4,1,FALSE,-100,0,0.000439605
54,0.4,1,0,0,0.5,1,FALSE,-100,0,1.11E-05
55,0.5,1,0,0,0.6,1,FALSE,-100,0,-4.78E-06
56,0.6,1,0,0,0.7,1,FALSE,-100,0,0.000487218
57,0.7,1,0,0,0.8,1,FALSE,-100,0,0.000566571
58,0.8,1,0,0,0.9,1,FALSE,-100,0,0.001026823
59,0.9,1,1,-59,1,0,TRUE,150.8748453,0.003014014,0.001201401
60,0,1,0,0,0.1,1,FALSE,-100,0,0.00096334
61,0.1,1,0,0,0.2,1,FALSE,-100,0,0.001312497
62,0.2,1,0,0,0.3,1,FALSE,-100,0,0.001439463
63,0.3,1,0,0,0.4,1,FALSE,-100,0,0.001836231
64,0.4,1,0,0,0.5,1,FALSE,-100,0,0.001913998
65,0.5,1,0,0,0.6,1,FALSE,-100,0,0.002174278
66,0.6,1,0,0,0.7,1,FALSE,-100,0,0.002423449
67,0.7,1,0,0,0.8,1,FALSE,-100,0,0.001423592
68,0.8,1,0,0,0.9,1,FALSE,-100,0,0.002185388
69,0.9,1,1,-69,1,0,TRUE,434.0302434,0.010314558,0.001931456
70,0,1,0,0,0.1,1,FALSE,-100,0,0.001550558
71,0.1,1,0,0,0.2,1,FALSE,-100,0,0.001826709
72,0.2,1,0,0,0.3,1,FALSE,-100,0,0.001987003
73,0.3,1,0,0,0.4,1,FALSE,-100,0,0.002475823
74,0.4,1,0,0,0.5,1,FALSE,-100,0,0.002947184
75,0.5,1,0,0,0.6,1,FALSE,-100,0,0.002820218
76,0.6,1,0,0,0.7,1,FALSE,-100,0,0.002915442
