,avg_rewards
0,-0.025732772302369512
1,-0.03507665571585013
2,-0.04484357393388247
3,-0.03400579679093463
4,-0.03392757383865798
5,-0.038822390452157636
6,-0.03308400387246267
7,-0.03875392801028425
8,-0.03134693059721628
9,-0.03264968099795269
10,-0.06709767652240158
11,-0.04814730832103352
12,-0.04704919138535767
13,-0.24189004745353843
14,-0.03387512101445826
15,-0.04828361821327112
16,-0.09574735355266709
17,-0.0991408171848466
18,-0.07359200669745594
19,-0.04737281578822073
20,-0.02723523623609327
21,-0.04934749400879241
22,-0.07671973448237554
23,-0.039433572981637556
24,-0.17776115316859498
25,-0.05863170340744974
26,-0.04290760050151568
27,-0.03504213683759465
28,-0.09204772334111003
29,-0.018901585487787476
30,-0.03629824707581458
31,-0.0778081107460839
32,-0.12355994778523705
33,-0.04445603009093942
34,-0.12237087162151439
35,-0.10357109698614483
36,-0.06359900966528594
37,-0.07385863527432592
38,-0.04729963179863196
39,-0.13161472964179724
40,-0.04923808503547113
41,-0.026958807471948475
42,-0.014748349442143201
43,-0.03829855655541274
44,-0.008294271453284461
45,-0.026635758383722986
46,-0.05465869955085786
47,-0.10890537462902125
48,-0.024497135329873514
49,-0.12968405307178346
50,-0.10062532733419034
51,-0.0646737767620499
52,-0.06361732054150997
53,-0.134650248377216
54,-0.05904858829690999
55,-0.07070847021854024
56,-0.08443442603437608
57,-0.07394193686616202
58,-0.058276397022647586
59,-0.06006758955069911
60,-0.09950201558507514
61,-0.055987319271850064
62,-0.0988541716262756
63,-0.014368959196305311
64,-0.09864279309305021
65,-0.13131818470377252
66,-0.08385030313129874
67,-0.1338233228586393
68,-0.11834908505134187
69,-0.0564050572140488
70,-0.13239477693662816
71,-0.0822429732260471
72,-0.11360986128965704
73,-0.11356455030233777
74,-0.1334561332508055
75,-0.0973042144772969
76,-0.1170106849815106
77,-0.062010526274024355
78,-0.08345653001952105
79,-0.08794271453284454
80,-0.08055398831912905
81,-0.0437401799742894
82,-0.1292329270421686
83,-0.096599037439096
84,-0.09538276277992033
85,-0.11206698646225144
86,-0.19582196590963194
87,-0.04901752130648005
88,-0.11357407275151168
89,-0.13213608373406976
90,-0.11108236521766734
91,-0.0939339816534146
92,-0.07864037280388518
93,-0.061995191163167186
94,-0.14538331825612216
95,-0.06290839403894684
96,-0.10920566903140824
97,-0.048971416781729615
98,-0.09069285736958213
99,-0.09199999206462571
