,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done
0,0.0,1.0,0.05,-0.003020302655176252,0.1,0.95,False
1,0.1,0.95,0.0,0.0,0.2,0.95,False
2,0.2,0.95,0.1,-0.019470631179672782,0.3,0.85,False
3,0.3,0.85,0.15,-0.048227336570966034,0.4,0.7,False
4,0.4,0.7,0.05,-0.003504360488184223,0.5,0.65,False
5,0.5,0.65,0.05,-0.0036154557285467226,0.6,0.6,False
6,0.6,0.6,0.2,-0.08937929502134617,0.7,0.4,False
7,0.7,0.4,0.1,-0.019635686965354168,0.8,0.3,False
8,0.8,0.3,0.15,-0.04840588249297722,0.9,0.15,False
9,0.9,0.15,0.15,-0.04791785697281341,1.0,0.0,True
10,0.0,1.0,0.05,-0.003496425113872624,0.1,0.95,False
11,0.1,0.95,0.15,-0.04834636718564016,0.2,0.8,False
12,0.2,0.8,0.05,-0.003591649605611903,0.3,0.75,False
13,0.3,0.75,0.1,-0.020524448888254075,0.4,0.65,False
14,0.4,0.65,0.1,-0.020730768620355833,0.5,0.55,False
15,0.5,0.55,0.2,-0.09066799980955105,0.6,0.35,False
16,0.6,0.35,0.05,-0.003708299607992531,0.7,0.3,False
17,0.7,0.3,0.15,-0.049131969242489144,0.8,0.15,False
18,0.8,0.15,0.1,-0.019937231189195204,0.9,0.05,False
19,0.9,0.05,0.05,-0.003682906410195382,1.0,0.0,True
20,0.0,1.0,0.1,-0.020476836642384436,0.1,0.9,False
21,0.1,0.9,0.15,-0.05025323763271912,0.2,0.75,False
22,0.2,0.75,0.05,-0.004606583980066343,0.3,0.7,False
23,0.3,0.7,0.15,-0.05058414274151313,0.4,0.55,False
24,0.4,0.55,0.05,-0.004309007443381107,0.5,0.5,False
25,0.5,0.5,0.15,-0.049881862114936,0.6,0.35,False
26,0.6,0.35,0.05,-0.00432170404227967,0.7,0.3,False
27,0.7,0.3,0.05,-0.004535959148693048,0.8,0.25,False
28,0.8,0.25,0.15,-0.05136974479836218,0.9,0.1,False
29,0.9,0.1,0.1,-0.022140091098097114,1.0,0.0,True
30,0.0,1.0,0.0,0.0,0.1,1.0,False
31,0.1,1.0,0.1,-0.023032027170721635,0.2,0.9,False
32,0.2,0.9,0.15,-0.053179010141408384,0.3,0.75,False
33,0.3,0.75,0.1,-0.023555761875287667,0.4,0.65,False
34,0.4,0.65,0.1,-0.02332563602025107,0.5,0.55,False
35,0.5,0.55,0.1,-0.022608278182481865,0.6,0.45,False
36,0.6,0.45,0.2,-0.09377866653970067,0.7,0.25,False
37,0.7,0.25,0.05,-0.005162853719309937,0.8,0.2,False
38,0.8,0.2,0.05,-0.005115241473440299,0.9,0.15,False
39,0.9,0.15,0.15,-0.052845724420320886,1.0,0.0,True
40,0.0,1.0,0.15,-0.050369887635099746,0.1,0.85,False
41,0.1,0.85,0.0,0.0,0.2,0.85,False
42,0.2,0.85,0.05,-0.004036030567061857,0.3,0.8,False
43,0.3,0.8,0.1,-0.020532384262565675,0.4,0.7,False
44,0.4,0.7,0.05,-0.004329639416591292,0.5,0.65,False
45,0.5,0.65,0.2,-0.09372470599438176,0.6,0.45,False
