,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done
0,0.0,1.0,0.1,-0.018540605310352506,0.1,0.9,False
1,0.1,0.9,0.0,0.0,0.2,0.9,False
2,0.2,0.9,0.05,-0.00348531558983639,0.3,0.85,False
3,0.3,0.85,0.1,-0.019651557713977367,0.4,0.75,False
4,0.4,0.75,0.1,-0.019508720976368448,0.5,0.65,False
5,0.5,0.65,0.15,-0.04834636718564016,0.6,0.5,False
6,0.6,0.5,0.25,-0.14297411877668267,0.7,0.25,False
7,0.7,0.25,0.1,-0.019635686965354168,0.8,0.15,False
8,0.8,0.15,0.05,-0.003635294164325743,0.9,0.1,False
9,0.9,0.1,0.1,-0.019445237981875613,1.0,0.0,True
10,0.0,1.0,0.1,-0.019492850227745252,0.1,0.9,False
11,0.1,0.9,0.15,-0.04834636718564016,0.2,0.75,False
12,0.2,0.75,0.05,-0.003591649605611903,0.3,0.7,False
13,0.3,0.7,0.05,-0.004012224444127037,0.4,0.65,False
14,0.4,0.65,0.1,-0.020730768620355833,0.5,0.55,False
15,0.5,0.55,0.1,-0.020333999904775517,0.6,0.45,False
16,0.6,0.45,0.05,-0.003708299607992531,0.7,0.4,False
17,0.7,0.4,0.2,-0.09050929232331889,0.8,0.2,False
18,0.8,0.2,0.15,-0.04865584678379279,0.9,0.05,False
19,0.9,0.05,0.05,-0.003682906410195382,1.0,0.0,True
20,0.0,1.0,0.1,-0.020476836642384436,0.1,0.9,False
21,0.1,0.9,0.1,-0.021002158421812755,0.2,0.8,False
22,0.2,0.8,0.05,-0.004606583980066343,0.3,0.75,False
23,0.3,0.75,0.0,0.0,0.4,0.75,False
24,0.4,0.75,0.0,0.0,0.5,0.75,False
25,0.5,0.75,0.2,-0.09150914948658136,0.6,0.55,False
26,0.6,0.55,0.15,-0.050465112126839004,0.7,0.4,False
27,0.7,0.4,0.25,-0.14767979574346524,0.8,0.15,False
28,0.8,0.15,0.1,-0.021746496532241456,0.9,0.05,False
29,0.9,0.05,0.05,-0.004820045549048556,1.0,0.0,True
30,0.0,1.0,0.15,-0.05182206113412373,0.1,0.85,False
31,0.1,0.85,0.05,-0.005266013585360815,0.2,0.8,False
32,0.2,0.8,0.05,-0.005226336713802798,0.3,0.75,False
33,0.3,0.75,0.0,0.0,0.4,0.75,False
34,0.4,0.75,0.0,0.0,0.5,0.75,False
35,0.5,0.75,0.15,-0.052662417273722784,0.6,0.6,False
36,0.6,0.6,0.1,-0.021889333269850333,0.7,0.5,False
37,0.7,0.5,0.3,-0.21847712231585958,0.8,0.2,False
38,0.8,0.2,0.1,-0.022730482946880598,0.9,0.1,False
39,0.9,0.1,0.1,-0.022730482946880598,1.0,0.0,True
40,0.0,1.0,0.1,-0.021079925090066506,0.1,0.9,False
41,0.1,0.9,0.05,-0.00379003396340206,0.2,0.85,False
42,0.2,0.85,0.05,-0.004036030567061857,0.3,0.8,False
43,0.3,0.8,0.05,-0.004016192131282836,0.4,0.75,False
44,0.4,0.75,0.15,-0.05048891824977387,0.5,0.6,False
45,0.5,0.6,0.0,0.0,0.6,0.6,False
46,0.6,0.6,0.2,-0.09374692504245427,0.7,0.4,False
47,0.7,0.4,0.05,-0.0049724047358314025,0.8,0.35,False
48,0.8,0.35,0.1,-0.022135329873510128,0.9,0.25,False
49,0.9,0.25,0.25,-0.14986202367915702,1.0,0.0,True
50,0.0,1.0,0.1,-0.023397054389055552,0.1,0.9,False
51,0.1,0.9,0.15,-0.05379796933771365,0.2,0.75,False
52,0.2,0.75,0.1,-0.023333571394562713,0.3,0.65,False
53,0.3,0.65,0.0,0.0,0.4,0.65,False
54,0.4,0.65,0.2,-0.09892078909362155,0.5,0.45,False
55,0.5,0.45,0.05,-0.006194452379818763,0.6,0.4,False
56,0.6,0.4,0.15,-0.056107163262391076,0.7,0.25,False
57,0.7,0.25,0.1,-0.024412782300941134,0.8,0.15,False
58,0.8,0.15,0.15,-0.05525014283673763,0.9,0.0,False
59,0.9,0.0,0.0,0.0,1.0,0.0,True
60,0.0,1.0,0.15,-0.05429789791934487,0.1,0.85,False
61,0.1,0.85,0.05,-0.0057183299211223905,0.2,0.8,False
62,0.2,0.8,0.05,-0.005543751686267053,0.3,0.75,False
63,0.3,0.75,0.2,-0.09692107476709678,0.4,0.55,False
64,0.4,0.55,0.15,-0.0533456530019521,0.5,0.4,False
65,0.5,0.4,0.1,-0.022986001999714324,0.6,0.3,False
66,0.6,0.3,0.05,-0.005112860861146828,0.7,0.25,False
67,0.7,0.25,0.25,-0.149941377422273,0.8,0.0,False
68,0.8,0.0,0.0,0.0,0.9,0.0,False
69,0.9,0.0,0.0,0.0,1.0,0.0,True
70,0.0,1.0,0.05,-0.005234272088114397,0.1,0.95,False
71,0.1,0.95,0.0,0.0,0.2,0.95,False
72,0.2,0.95,0.05,-0.005286645558571,0.3,0.9,False
73,0.3,0.9,0.05,-0.005206498278023778,0.4,0.85,False
