,avg_rewards,,"Bin, pre-trained, Rew = P&L, NN3, smaller action space"
0,-0.030738168,,
1,-0.045079433,,
2,-0.031341396,,
3,-0.060218104,,
4,-0.030179796,,
5,-0.039322319,,
6,-0.248698599,,
7,-0.079231003,,
8,-0.115388476,,
9,-0.040144761,,
10,-0.038377037,,
11,-0.044309622,,
12,-0.050003273,,
13,-0.037121681,,
14,-0.035402304,,
15,-0.108248623,,
16,-0.14005644,,
17,-0.063084916,,
18,-0.049649971,,
19,-0.048637814,,
20,-0.050815419,,
21,-0.157200301,,
22,-0.05177306,,
23,-0.083631684,,
24,-0.180514708,,
25,-0.086711244,,
26,-0.145829683,,
27,-0.146855945,,
28,-0.026309634,,
29,-0.179086242,,
30,-0.073627478,,
31,-0.054944988,,
32,-0.180279543,,
33,-0.036955237,,
34,-0.179644098,,
35,-0.105845336,,
36,-0.051686227,,
37,-0.116588364,,
38,-0.067277889,,
39,-0.048114138,,
40,-0.015388575,,
41,-0.126356275,,
42,-0.022103767,,
43,-0.147248052,,
44,-0.059532845,,
45,-0.013101839,,
46,-0.020798874,,
47,-0.007297172,,
48,-0.018207458,,
49,-0.03089755,,
50,-0.004097907,,
51,-0.009582917,,
52,-0.003634937,,
53,-0.006806885,,
54,-0.015423412,,
55,-0.011000571,,
56,-0.00194014,,
57,-0.011915064,,
58,4.38E-05,,
59,1.84E-06,,
60,-0.005596879,,
61,-0.002135429,,
62,-0.001370757,,
63,-0.000677443,,
64,-0.002674102,,
65,-0.006209153,,
66,-0.002442389,,
67,-0.005003571,,
68,-0.010330826,,
69,-0.00171533,,
70,-0.001733423,,
71,-0.013365452,,
72,-0.013509082,,
73,-0.002751551,,
74,-0.028295839,,
75,0.001533154,,
76,-0.002083849,,
77,-0.003369241,,
78,-0.007099006,,
79,-0.010196162,,
80,-0.002435327,,
81,0.003056746,,
82,-0.00440449,,
83,0.001221155,,
84,-0.006803453,,
85,0.003291137,,
86,-0.003313634,,
87,-0.011411743,,
88,-0.004401673,,
89,-6.67E-06,,
90,0.003043553,,
91,0.003668385,,
92,-0.007680331,,
93,-0.001464136,,
94,-0.02117146,,
95,0.009669055,,
96,0.00836202,,
97,0.001154756,,
98,-0.002768791,,
99,-0.019461823,,
