,avg_rewards
0,-0.034356917
1,-0.026185009
2,-0.030069177
3,-0.031364071
4,-0.037648768
5,-0.035515978
6,-0.044659751
7,-0.034897673
8,-0.082391226
9,-0.051630442
10,-0.033297684
11,-0.035680637
12,-0.03565318
13,-0.047009157
14,-0.028938207
15,-0.109809769
16,-0.064001036
17,-0.033052699
18,-0.033404732
19,-0.061056159
20,-0.041636909
21,-0.034445655
22,-0.045389667
23,-0.042295585
24,-0.051141662
25,-0.088253027
26,-0.053943266
27,-0.127780456
28,-0.133181867
29,-0.055659291
30,-0.09765466
31,-0.105291446
32,-0.104891682
33,-0.069796458
34,-0.162592824
35,-0.086113551
36,-0.087821125
37,-0.106209847
38,-0.09862716
39,-0.114109968
40,-0.170334635
41,-0.214511419
42,-0.170893761
43,-0.09588283
44,-0.190552243
45,-0.213206843
46,-0.168858953
47,-0.151121685
48,-0.12700269
49,-0.130938021
50,-0.155688493
51,-0.135669448
52,-0.064807488
53,-0.105980951
54,-0.117662893
55,-0.051933632
56,-0.136858405
57,-0.198230193
58,-0.220464537
59,-0.155139801
60,-0.117057166
61,-0.100986684
62,-0.062603299
63,-0.06811642
64,-0.1960805
65,-0.219004428
66,-0.140134425
67,-0.22011538
68,-0.109722798
69,-0.156164615
70,-0.219813836
71,-0.105984482
72,-0.195990037
73,-0.196018208
74,-0.220972401
75,-0.197360159
76,-0.22075021
77,-0.17679768
78,-0.11913439
79,-0.220543891
80,-0.195396868
81,-0.173231522
82,-0.21671904
83,-0.193988339
84,-0.194043093
85,-0.218464822
86,-0.083355215
87,-0.17247907
88,-0.196251111
89,-0.195834504
90,-0.217004714
91,-0.217750639
92,-0.217306258
93,-0.093251539
94,-0.188933902
95,-0.213068768
96,-0.214124173
97,-0.167636112
98,-0.168215791
99,-0.190670797
