,avg_rewards
0,-0.04754641656855399
1,-0.04486931606550359
2,-0.04389213528845125
3,-0.0431758664240608
4,-0.04396337578936102
5,-0.044115751899818055
6,-0.042038656748367764
7,-0.041273795354811085
8,-0.040921306860751364
9,-0.04084568339933641
10,-0.04165147918227549
11,-0.04124400299689607
12,-0.04071757679546185
13,-0.040409164080059935
14,-0.03960353419672483
15,-0.038874715830033185
16,-0.03972488172963716
17,-0.040428231831317565
18,-0.0393264711548753
19,-0.03881941774590603
20,-0.038390299689607194
21,-0.0382511580862678
22,-0.03826481001819544
23,-0.03809649149095579
24,-0.037825293802847056
25,-0.03690957615326982
26,-0.03649982553783581
27,-0.03672200792036819
28,-0.03625953869206893
29,-0.03589647008455528
30,-0.03333015305576368
31,-0.033520734239537615
32,-0.037866790110242965
33,
