,avg_rewards
0,-0.00013000000000000002
1,-0.00013000000000000004
2,-0.00015000000000000001
3,-0.000125
4,-0.00013000000000000002
5,-0.00011500000000000002
6,-0.00017
7,-0.000115
8,-0.00014000000000000001
9,-0.000165
10,-0.000115
11,-0.00017500000000000003
12,-0.00016000000000000004
13,-0.000155
14,-0.00017500000000000003
15,-0.000175
16,-0.00019500000000000002
17,-0.00021999999999999998
18,-0.000145
19,-0.000255
20,-0.00018
21,-0.00019500000000000002
22,-0.00023
23,-0.00022500000000000002
24,-0.00025000000000000006
25,-0.0004
26,-0.000185
27,-0.00019500000000000002
28,-0.00022
29,-0.000165
30,-0.00025
31,-0.00027
32,-0.00073
33,-0.00047500000000000005
34,-0.000455
35,-0.00032500000000000004
36,-0.00039500000000000006
37,-0.00014000000000000001
38,-0.000185
39,-0.00017
40,-0.000175
41,-0.00028000000000000003
42,-0.00015000000000000001
43,-0.00014000000000000001
44,-0.00016
45,-0.00023
46,-0.000215
47,-0.00030000000000000003
48,-0.00019500000000000002
49,-0.00014500000000000003
50,-0.00019
51,-0.00018
52,-0.000215
53,-0.00023500000000000002
54,-0.00020500000000000002
55,-0.00023
56,-0.00018000000000000004
57,-0.00020500000000000002
58,-0.00019
59,-0.00039499999999999995
60,-0.0005849999999999999
61,-0.00020500000000000002
62,-0.000455
63,-0.000215
64,-0.000125
65,-0.00015500000000000003
66,-0.00027500000000000007
67,-0.00024000000000000003
68,-0.000255
69,-0.0005549999999999999
70,-0.001
71,-0.00017999999999999998
72,-0.00015000000000000001
73,-0.00015500000000000003
74,-0.00023500000000000002
75,-0.00021999999999999998
76,-0.000225
77,-0.00024000000000000003
78,-0.00016999999999999999
79,-0.00020499999999999997
80,-0.00025499999999999996
81,-0.00018500000000000002
82,-0.00017999999999999998
83,-0.0002
84,-0.000175
85,-0.00020999999999999998
86,-0.00021000000000000004
87,-0.00019500000000000002
88,-0.0004
89,-0.00019
90,-0.00023
91,-0.0002
92,-0.00022500000000000002
93,-0.00018
94,-0.0003600000000000001
95,-0.00024000000000000003
96,-0.00020999999999999998
97,-0.00026000000000000003
98,-0.00024500000000000005
99,-0.0002
100,-0.00026500000000000004
101,-0.00024000000000000003
102,-0.000345
103,-0.00017
104,-0.00022500000000000002
105,-0.00028500000000000004
106,-0.0003600000000000001
107,-0.00016999999999999999
108,-0.00023500000000000002
109,-0.000285
110,-0.00021999999999999998
111,-0.00023500000000000005
112,-0.00028500000000000004
113,-0.00033500000000000007
114,-0.000155
115,-0.00022
116,-0.00029
117,-0.00027
118,-0.00022
119,-0.000185
120,-0.00019500000000000002
121,-0.00030000000000000003
122,-0.0003600000000000001
123,-0.00026
124,-0.000185
125,-0.000255
126,-0.00026000000000000003
127,-0.00028500000000000004
128,-0.0003600000000000001
129,-0.00017999999999999998
130,-0.00025000000000000006
131,-0.000215
132,-0.000275
133,-0.000285
134,-0.00030000000000000003
135,-0.00019
136,-0.00022
137,-0.00021999999999999998
138,-0.00031500000000000007
139,-0.00030000000000000003
140,-0.00022
141,-0.000285
142,-0.00027500000000000007
143,-0.000255
144,-0.0002
145,-0.00022
146,-0.000255
147,-0.00020499999999999997
148,-0.00023500000000000005
149,-0.00025
150,-0.00016500000000000005
151,-0.000215
152,-0.00024000000000000003
153,-0.000295
154,-0.00024000000000000003
155,-0.00017
156,-0.00020500000000000002
157,-0.00026500000000000004
158,-0.00019
159,-0.00017500000000000003
160,-0.00033499999999999996
161,-0.00033499999999999996
162,-0.000295
163,-0.00016500000000000003
164,-0.00022
165,-0.00028000000000000003
166,-0.00016
167,-0.00023000000000000003
168,-0.00033499999999999996
169,-0.000295
170,-0.0003600000000000001
171,-0.00023499999999999997
172,-0.00023
173,-0.00028500000000000004
174,-0.00027499999999999996
175,-0.00023
176,-0.00023500000000000002
177,-0.00021000000000000004
178,-0.00030000000000000003
179,-0.000225
180,-0.00026
181,-0.00023500000000000002
182,-0.00025499999999999996
183,-0.0002450000000000001
184,-0.00023500000000000002
185,-0.00024500000000000005
186,-0.00024500000000000005
187,-0.000305
188,-0.00023
189,-0.000245
190,-0.00026499999999999994
191,-0.00016500000000000003
192,-0.00026
193,-0.000275
194,-0.00023500000000000002
195,-0.00022000000000000006
196,-0.000185
197,-0.00028
198,-0.00028
199,-0.000215
200,-0.00017
201,-0.0002
202,-0.00026500000000000004
203,-0.00020500000000000002
204,-0.000365
205,-0.0005549999999999999
206,-0.00025
207,-0.00034500000000000004
208,-0.00023500000000000002
209,-0.00030500000000000004
