,avg_rewards
0,-0.07305295408327087
1,-0.07277333297655998
2,-0.07240674836776191
3,-0.06741236754789677
4,-0.053938376324521
5,-0.053823985871775636
6,-0.053778497270683887
7,-0.05451501123836024
8,-0.045259418816226006
9,-0.042331692175960584
10,-0.04730426522530231
11,-0.046806967783367195
12,-0.03988373648720965
13,-0.044087418388098
14,-0.04318567376645616
15,-0.04161096542866312
16,-0.041348068072353625
17,-0.042155490741731735
18,-0.042717408755217776
19,-0.043578347425880314
20,-0.03904808412715398
21,-0.03977362731456703
22,-0.04047963716151126
23,-0.043322942309750576
24,-0.05085986835063679
25,-0.04851452959434869
26,-0.04727282457454776
27,-0.04584996789039923
28,-0.042686904634485656
29,-0.043473322273359705
30,-0.04301576046237823
31,-0.043262603018302426
32,-0.029069490527667764
33,-0.03132652788183664
